sample,experiment,peak_index,peak_name,position,amplitude,fwhm
150 mA,exp2,2,4hb,3203.6386942310264,209.61279289584928,153.84172086675514
150 mA,exp2,3,3hb,3410.495282585763,604.5227146921908,267.46521389421946
150 mA,exp3,1,membrane,3058.267409996431,93.45353325775365,21.41602278236244
150 mA,exp3,2,4hb,3216.3282167881825,139.19276876757814,197.22297174120473
150 mA,exp3,3,3hb,3423.914460167514,173.6190896614529,198.35493517642107
150 mA,exp4,1,membrane,3059.558515152847,306.11185140691225,30.416687840328382
150 mA,exp4,2,4hb,3203.5028779227537,237.10381330182258,155.3096888898368
150 mA,exp4,3,3hb,3408.5088836827654,623.6940076675959,255.95925654897175
200 mA,exp1,1,membrane,3058.6922189685583,372.71696948349546,28.517215938828286
200 mA,exp1,2,4hb,3204.30728968903,195.2487197024716,143.59472957912186
200 mA,exp1,3,3hb,3406.183633434827,638.9437399133153,275.44321405286007
200 mA,exp2,1,membrane,3058.269895715167,350.17931645349216,27.177999805463482
200 mA,exp2,2,4hb,3205.80102340359,219.8144124843322,159.20248916712296
200 mA,exp2,3,3hb,3411.450177763101,640.5662078388258,272.583400597294
200 mA,exp3,1,membrane,3058.307792661193,463.47672291584047,27.855140068269016
200 mA,exp3,2,4hb,3204.328006766974,255.00491259884313,146.7312438385659
200 mA,exp3,3,3hb,3407.949684478056,763.698240449005,276.4718624616208
200 mA,exp4,1,membrane,3057.892617198537,1067.6879186437748,24.737707532716563
200 mA,exp4,2,4hb,3211.7118920817197,361.10254848910444,119.95251265989606
200 mA,exp4,3,3hb,3408.7051949522224,1356.2122238218165,279.99999999999994
200 mA,exp5,1,membrane,3057.879804514679,473.41605915118123,25.05718282160661
200 mA,exp5,2,4hb,3210.0898771992943,240.89519257942783,140.51714334299908
200 mA,exp5,3,3hb,3410.6851822231333,741.3460135937678,271.924963643218
300 mA,exp1,1,membrane,3058.69589551725,423.9935339394129,26.741120360456488
300 mA,exp1,2,4hb,3209.557570615696,232.29141722227112,137.92356528703712
300 mA,exp1,3,3hb,3411.6009213133957,690.680377370586,276.51003936151534
300 mA,exp2,1,membrane,3058.985354217457,477.23882405943095,24.531190560534693
300 mA,exp2,2,4hb,3210.8606643124554,243.76729921563893,165.4937009632885
300 mA,exp2,3,3hb,3411.14449002174,740.5289826894622,279.99999999999955
300 mA,exp3,1,membrane,3058.7920352655537,380.1384780617064,27.07783924426465
300 mA,exp3,2,4hb,3211.5406060266414,220.51356311621169,155.97872472287554
300 mA,exp3,3,3hb,3411.887938407896,601.4574165556696,267.9731930153374
300 mA,exp4,1,membrane,3057.619033074238,629.4492380603917,26.262633885267693
300 mA,exp4,2,4hb,3215.506350236656,296.88077574191766,150.44571386058493
300 mA,exp4,3,3hb,3413.389810593775,919.441911894621,279.9999999999997
300 mA,exp5,1,membrane,3058.1997526496266,599.0193107003291,25.25809239336071
300 mA,exp5,2,4hb,3228.935309616585,420.23587047822645,171.06173238800503
300 mA,exp5,3,3hb,3427.3179789263218,898.2816269025668,227.25869596635704
300 mA,exp6,1,membrane,3058.3595369695418,294.1565928259023,24.374432073212642
300 mA,exp6,2,4hb,3213.4202312177185,170.88575614210055,156.57560744604055
300 mA,exp6,3,3hb,3410.2166972175273,490.47970784899775,266.23205500874775
300 mA,exp7,1,membrane,3057.8258776344805,534.8805770387145,25.709549633111124
300 mA,exp7,2,4hb,3214.4228606765664,255.34966563183346,150.4215526110259
300 mA,exp7,3,3hb,3411.3011122485086,765.9792399667036,274.67125078703936
400 mA,exp1,1,membrane,3006.299253758074,25.920016250651457,6.966007787642266
400 mA,exp1,2,4hb,3208.8280187111277,226.58224540869222,153.79326119256677
400 mA,exp1,3,3hb,3419.647986410285,646.318043531478,279.99999999999994
500 mA,exp1,1,membrane,3057.863829248494,285.5232926623934,29.510928981331308
500 mA,exp1,2,4hb,3215.5519826724008,163.02308106192768,144.498621936914
500 mA,exp1,3,3hb,3419.8860785628035,422.69898881013796,279.99999999999994
500 mA,exp2,1,membrane,3058.0940929962503,276.6653383315241,24.125242580698746
500 mA,exp2,2,4hb,3219.5123053855186,158.65480859377442,153.09590873648688
500 mA,exp2,3,3hb,3421.5729472430194,347.3050994656319,259.6787150879719
500 mA,exp3,1,membrane,3058.739560925919,339.87356225974924,27.20148293682566
500 mA,exp3,2,4hb,3207.0690596464174,172.19768916602928,156.57649388539318
500 mA,exp3,3,3hb,3419.539512094048,386.7319631178142,260.8406699875144
500 mA,exp4,1,membrane,3058.4410126309094,349.38814332086906,25.517840004500936
500 mA,exp4,2,4hb,3204.4242376777806,129.25081937945117,123.6020915631413
500 mA,exp4,3,3hb,3407.6382397485554,384.588957812363,279.99999999986477
500 mA,exp5,1,membrane,3057.7651508255067,448.8715365014968,25.44992436220035
500 mA,exp5,2,4hb,3219.5815066980426,192.01909381564693,149.6727902781652
500 mA,exp5,3,3hb,3418.9129257058976,501.97421870876474,279.9999999999941
750 mA,exp1,1,membrane,3058.5540062444825,417.7268591461719,26.605115546115453
750 mA,exp1,2,4hb,3214.565410988813,184.4692702577458,151.30275445631247
750 mA,exp1,3,3hb,3418.035116202031,484.9327953131921,279.99999999999994
750 mA,exp2,1,membrane,3057.8855422158495,493.7202838487568,26.81671467485883
750 mA,exp2,2,4hb,3216.157405648182,221.24737072054458,142.4572200100378
750 mA,exp2,3,3hb,3417.308095823717,596.7498001853543,279.9999999999983
750 mA,exp3,1,membrane,3058.315404276467,355.5013224177041,25.7592743354515
750 mA,exp3,2,4hb,3202.2048122797855,128.38052864590856,163.47610895783197
750 mA,exp3,3,3hb,3409.840295953073,403.91298258540866,279.9999999950296
750 mA,exp4,1,membrane,3058.4749921088805,551.412875634631,27.31088560382967
750 mA,exp4,2,4hb,3216.7504487923215,239.74620574120462,153.4696537268745
750 mA,exp4,3,3hb,3417.870974647793,652.245663993442,279.9999999998232
