sample,experiment,peak_index,peak_name,position,amplitude,fwhm
100 mA,exp1,1,membrane,3059.453545669727,385.9046480443307,28.900900705483057
100 mA,exp1,2,4hb,3202.7338733786405,264.52865964672924,156.0528146573421
100 mA,exp1,3,3hb,3403.7933973774225,566.4014121236987,270.30950455369356
100 mA,exp2,1,membrane,3060.097940723549,184.7698833715977,29.618668230330726
100 mA,exp2,2,4hb,3222.2807387482358,217.56304691018144,187.91465302612656
100 mA,exp2,3,3hb,3421.0891858390128,342.07820456260225,213.12492953046834
100 mA,exp3,1,membrane,3059.368883831396,357.7877409021285,27.16718801435606
100 mA,exp3,2,4hb,3216.8679523900482,252.0670501529843,159.34187112771932
100 mA,exp3,3,3hb,3414.099464488258,618.2230331692343,242.32056433567712
100 mA,exp4,1,membrane,3057.9964751839393,621.9886768625962,26.667438468441386
100 mA,exp4,2,4hb,3205.6194864922163,357.95686342400603,141.37948891459547
100 mA,exp4,3,3hb,3405.8472367891413,1226.9630328951243,274.2772971664359
100 mA,exp5,1,membrane,3058.065828906283,511.4218586143704,25.539453825517256
100 mA,exp5,2,4hb,3208.70332053807,335.44049866924354,145.67689396916495
100 mA,exp5,3,3hb,3410.1469699803642,1048.3806126445136,258.86509765388524
1000 mA,exp1,1,membrane,3058.1572843895315,508.3471222878654,26.441799247260814
1000 mA,exp1,2,4hb,3213.748998540271,173.29955903156554,142.227514414025
1000 mA,exp1,3,3hb,3422.341264234547,489.5971498501172,279.99999999999994
1000 mA,exp2,1,membrane,3058.453854962033,476.0087674618103,26.16098290202812
1000 mA,exp2,2,4hb,3217.579628210374,164.1282700811873,143.82925979829943
1000 mA,exp2,3,3hb,3422.9534307250096,465.1420164065324,267.23972317354315
1000 mA,exp3,1,membrane,3058.589445251255,446.01143553725643,25.693090835233004
1000 mA,exp3,2,4hb,3218.9981331880153,149.97686024033834,136.92458938060955
1000 mA,exp3,3,3hb,3422.8652036777585,468.82220346877534,279.99999999999864
1000 mA,exp4,1,membrane,3057.9845153832052,466.7314985027703,27.15471526768008
1000 mA,exp4,2,4hb,3219.335742800147,191.58071097621604,142.17303263266052
1000 mA,exp4,3,3hb,3426.2142805539725,516.0634362194478,274.3750575150209
1000 mA,exp5,1,membrane,3057.859893171048,423.3846477496355,25.444057201533244
1000 mA,exp5,2,4hb,3221.6400043819513,138.4990056417705,129.4377748140447
1000 mA,exp5,3,3hb,3419.2654039660656,465.1111543020519,274.0817196355316
150 mA,exp1,1,membrane,3058.4836622901375,672.9724115221541,26.298863455797296
150 mA,exp1,2,4hb,3205.8894445526066,400.2702864650614,138.9098803551878
150 mA,exp1,3,3hb,3407.117374612875,1385.1966385881508,273.23381403985746
150 mA,exp2,1,membrane,3057.8188434049757,318.2535546808966,26.41159368391178
