sample,experiment,wn,int
100 mA,exp1,3647.585938,2062.608887
100 mA,exp1,3646.897461,2021.122192
100 mA,exp1,3646.208008,2061.85083
100 mA,exp1,3645.518555,2112.837646
100 mA,exp1,3644.829102,2054.24585
100 mA,exp1,3644.139648,2064.137939
100 mA,exp1,3643.450195,2029.533813
100 mA,exp1,3642.760742,2032.582764
100 mA,exp1,3642.071289,2018.524536
100 mA,exp1,3641.380859,2052.359619
100 mA,exp1,3640.691406,2051.982666
100 mA,exp1,3640.000977,2031.0896
100 mA,exp1,3639.310547,2157.208984
100 mA,exp1,3638.620117,2016.671143
100 mA,exp1,3637.929688,2043.640259
100 mA,exp1,3637.238281,2039.848022
100 mA,exp1,3636.547852,2128.294678
100 mA,exp1,3635.857422,2015.189575
100 mA,exp1,3635.166016,2031.894165
100 mA,exp1,3634.474609,2065.664062
100 mA,exp1,3633.783203,2116.48999
100 mA,exp1,3633.091797,2119.51416
100 mA,exp1,3632.400391,2241.972656
100 mA,exp1,3631.708984,2101.676514
100 mA,exp1,3631.016602,2135.4021
100 mA,exp1,3630.325195,2131.599365
100 mA,exp1,3629.632812,2117.568115
100 mA,exp1,3628.94043,2127.406982
100 mA,exp1,3628.248047,2072.477051
100 mA,exp1,3627.555664,2089.136719
100 mA,exp1,3626.863281,2027.419189
100 mA,exp1,3626.169922,2129.250732
100 mA,exp1,3625.477539,2190.170654
100 mA,exp1,3624.78418,2172.740479
100 mA,exp1,3624.091797,2090.623047
100 mA,exp1,3623.398438,2090.239014
100 mA,exp1,3622.705078,2066.029053
100 mA,exp1,3622.010742,2174.547119
100 mA,exp1,3621.317383,2146.927979
100 mA,exp1,3620.624023,2136.328125
100 mA,exp1,3619.929688,2108.726318
100 mA,exp1,3619.236328,2030.126221
100 mA,exp1,3618.541992,2005.953613
100 mA,exp1,3617.847656,1974.991333
100 mA,exp1,3617.15332,2029.00708
100 mA,exp1,3616.458984,2208.730713
100 mA,exp1,3615.763672,2038.453613
100 mA,exp1,3615.069336,2027.88855
100 mA,exp1,3614.374023,2000.346436
100 mA,exp1,3613.679688,2203.71167
100 mA,exp1,3612.984375,2084.484375
100 mA,exp1,3612.289062,2053.55249
100 mA,exp1,3611.59375,2090.505371
100 mA,exp1,3610.897461,2195.305664
100 mA,exp1,3610.202148,2225.434082
100 mA,exp1,3609.506836,2150.405273
100 mA,exp1,3608.810547,2139.836182
100 mA,exp1,3608.114258,2115.708984
100 mA,exp1,3607.417969,2217.018066
100 mA,exp1,3606.72168,2240.335693
100 mA,exp1,3606.025391,2026.436157
100 mA,exp1,3605.329102,2283.556641
100 mA,exp1,3604.632812,2069.727783
100 mA,exp1,3603.935547,2103.215332
100 mA,exp1,3603.238281,2211.186768
100 mA,exp1,3602.541016,2180.310059
100 mA,exp1,3601.844727,2210.373535
100 mA,exp1,3601.146484,2159.202148
100 mA,exp1,3600.449219,2111.433105
100 mA,exp1,3599.751953,2117.810791
100 mA,exp1,3599.053711,2235.807373
100 mA,exp1,3598.356445,2171.141113
100 mA,exp1,3597.658203,2174.122803
100 mA,exp1,3596.959961,2234.573486
100 mA,exp1,3596.261719,2234.162354
100 mA,exp1,3595.563477,2233.751221
100 mA,exp1,3594.865234,2270.506348
100 mA,exp1,3594.166992,2168.745117
100 mA,exp1,3593.467773,2080.531494
100 mA,exp1,3592.768555,2154.439453
100 mA,exp1,3592.070312,2221.567871
100 mA,exp1,3591.371094,2227.910156
100 mA,exp1,3590.671875,2173.5
100 mA,exp1,3589.972656,2267.58252
100 mA,exp1,3589.272461,2155.831055
100 mA,exp1,3588.573242,2219.523682
100 mA,exp1,3587.873047,2101.077148
100 mA,exp1,3587.172852,2205.218994
100 mA,exp1,3586.473633,2191.327637
100 mA,exp1,3585.773438,2157.217773
100 mA,exp1,3585.073242,2227.591064
100 mA,exp1,3584.37207,2206.964355
100 mA,exp1,3583.671875,2226.770508
100 mA,exp1,3582.97168,2169.101562
100 mA,exp1,3582.270508,2229.317871
100 mA,exp1,3581.569336,2255.842529
100 mA,exp1,3580.868164,2194.833252
100 mA,exp1,3580.166992,2177.600586
100 mA,exp1,3579.46582,2318.531982
100 mA,exp1,3578.764648,2196.984619
100 mA,exp1,3578.0625,2287.403076
100 mA,exp1,3577.361328,2202.901367
100 mA,exp1,3576.65918,2215.945801
100 mA,exp1,3575.957031,2192.003418
100 mA,exp1,3575.254883,2245.380859
100 mA,exp1,3574.552734,2160.94873
100 mA,exp1,3573.850586,2187.431152
100 mA,exp1,3573.148438,2133.276123
100 mA,exp1,3572.445312,2223.572021
100 mA,exp1,3571.743164,2243.311523
100 mA,exp1,3571.040039,2162.314697
100 mA,exp1,3570.336914,2185.414795
100 mA,exp1,3569.633789,2268.921631
100 mA,exp1,3568.930664,2325.55127
100 mA,exp1,3568.227539,2308.346436
100 mA,exp1,3567.523438,2163.675537
100 mA,exp1,3566.820312,2371.218994
100 mA,exp1,3566.116211,2260.122559
100 mA,exp1,3565.412109,2236.236816
100 mA,exp1,3564.708008,2292.809082
100 mA,exp1,3564.003906,2248.817139
100 mA,exp1,3563.299805,2348.926514
100 mA,exp1,3562.595703,2207.784424
100 mA,exp1,3561.890625,2183.929688
100 mA,exp1,3561.185547,2257.203613
100 mA,exp1,3560.481445,2303.663818
100 mA,exp1,3559.776367,2279.804199
100 mA,exp1,3559.071289,2118.72168
100 mA,exp1,3558.366211,2355.931396
100 mA,exp1,3557.660156,2315.345703
100 mA,exp1,3556.955078,2314.917969
100 mA,exp1,3556.249023,2143.913574
100 mA,exp1,3555.543945,2106.733154
