interval_mA_low,interval_mA_high,interval_label,peak_index,species,stark_slope,stark_slope_err
50.0,200.0,0.05–0.2,2,4-HB water,-0.6515723180329935,1.26547206004004
50.0,200.0,0.05–0.2,3,3-HB water,-11.493259433164525,3.4647964957340163
200.0,400.0,0.2–0.4,2,4-HB water,2.7781770259230147,3.816427071117055
200.0,400.0,0.2–0.4,3,3-HB water,36.82891689241303,0.9105599239495723
400.0,750.0,0.4–0.75,2,4-HB water,-19.264937045631726,8.170729745469668
400.0,750.0,0.4–0.75,3,3-HB water,-21.529881741330694,2.937659329766146
