current_mA,current_density,peak_index,amp_mean,amp_std,fwhm_mean,fwhm_std,pos_mean,pos_std,species
100.0,0.1,1,410.9599509242997,165.8562686852682,27.415886462856548,1.5616923974495405,3058.8235810961246,0.9160849070271989,0-HB
100.0,0.1,2,421.52488481946875,146.53792123369018,193.58044749630113,21.36454551480785,3235.7836384633556,9.634960440499572,4-HB water
100.0,0.1,3,747.3699958141945,368.56886096136606,196.82918425217082,13.78276360029562,3421.6257261285355,8.484265056767255,3-HB water
100.0,0.1,4,118.70891829862967,73.57331382377372,136.9229680296657,25.872174420156483,3580.4999999751353,5.55555638847897e-08,0-HB
150.0,0.15,1,346.58125605604596,240.35459935229824,25.916108176507343,3.580708895983734,3058.380517602931,0.7062315614825643,0-HB
150.0,0.15,2,370.98678023154116,229.71167001195997,191.0048185224641,11.356103918035142,3227.95510877028,5.340562895505122,4-HB water
150.0,0.15,3,691.6504339002372,502.33759393576275,199.5111507388655,8.390313934112067,3419.821023728878,4.381343172380699,3-HB water
150.0,0.15,4,114.43597096576244,107.33019525337316,149.99999999999707,4.666875844931658e-12,3580.3749999998413,0.24999999989394278,0-HB
200.0,0.2,1,545.4832691354388,299.9975269161153,26.522359453424905,1.5174683498944002,3058.058151472151,0.28618079555405795,0-HB
200.0,0.2,2,421.86259597933406,85.96072941132707,183.00035944596442,22.230714372453075,3235.571193712306,7.75569256864961,4-HB water
200.0,0.2,3,817.0147514553959,317.02415384608827,202.41823465487715,11.1488835020436,3419.1054624788244,6.114178123914611,3-HB water
200.0,0.2,4,155.75882656442792,47.21406113354167,149.52166676784964,1.0695856143095155,3580.499999999881,2.2623040852034407e-10,0-HB
300.0,0.3,1,476.97172967033646,121.59819289847711,25.71497397463514,1.0780050284914882,3058.2423764962227,0.5145809366064383,0-HB
300.0,0.3,2,429.49366303814713,112.84916922837607,193.2713277388112,14.329647851579669,3245.343832306889,10.731626812985194,4-HB water
300.0,0.3,3,703.0595624936999,151.3670305639128,193.62621643381203,16.47236834230382,3425.505732927248,5.800974823223261,3-HB water
300.0,0.3,4,149.75895700263462,58.09527438091643,147.46976955599618,6.694359020829778,3580.428571428544,0.1889822334787675,0-HB
400.0,0.4,1,38.3299545460647,,8.092559530005593,,3006.419398007399,,0-HB
400.0,0.4,2,283.07000387230244,,162.73344213972968,,3213.0345844669496,,4-HB water
400.0,0.4,3,650.4183645777983,,239.81539538364478,,3413.0147936161607,,3-HB water
400.0,0.4,4,111.4706169456222,,149.99999999999997,,3580.4999999999995,,0-HB
500.0,0.5,1,340.67330983610134,69.16040671683764,26.431262482635514,2.0702887342999325,3058.0078012399704,0.3466719282911165,0-HB
500.0,0.5,2,260.7338910629304,30.14520111076511,194.92422800930402,19.956716470819725,3245.1620445369867,8.032314708337505,4-HB water
500.0,0.5,3,396.9204846017258,59.65786594157629,185.1467561262096,21.784286411285017,3427.4965658970286,5.491123408027668,3-HB water
500.0,0.5,4,108.86368328539795,40.343387369766305,147.22026222720973,6.215682619572161,3580.4999999999427,1.2712059373079995e-10,0-HB
750.0,0.75,1,455.1683237998368,86.41437964323008,26.68253404040494,0.7092841704230827,3058.236407049738,0.303336512731061,0-HB
750.0,0.75,2,278.2557890894509,86.37881724066068,175.34819940457024,6.5010081746700354,3227.7536884336914,12.576721491354869,4-HB water
750.0,0.75,3,528.3600564279167,111.1920457170502,222.21372473253336,23.41662638406606,3418.7655968733293,6.017854674195669,3-HB water
750.0,0.75,4,95.1616631555436,52.996620511486704,149.83323684170176,0.3335258478388849,3580.4999999983174,2.0044414340501543e-09,0-HB
1000.0,1.0,1,465.3093654033254,31.679119774381487,26.310294336736046,0.623185901751409,3058.1230262512136,0.2778622028518955,0-HB
1000.0,1.0,2,253.18561160469466,30.224695638726903,173.46216279277644,16.250727906998645,3240.987642200963,13.087841516185838,4-HB water
1000.0,1.0,3,473.8240101953914,24.891347503912762,201.61837327168118,21.355561788861376,3425.97327498105,6.023269622923661,3-HB water
1000.0,1.0,4,107.47900320734763,25.774891591730476,149.9999999985786,2.1164584341670607e-09,3580.4999999998618,2.5033469935460163e-10,0-HB
