sample,experiment,peak_index,peak_name,position,amplitude,fwhm
1000 mA,exp4,3,3hb,3427.8068188166744,509.91812171760085,206.8705106818677
1000 mA,exp4,4,0hb,3580.4999999999995,101.44286661249531,149.99999999999997
1000 mA,exp5,1,membrane,3057.8106485203557,425.1778868565772,25.626676308959226
1000 mA,exp5,2,4hb,3237.500112756418,213.961967051166,157.8551900191557
1000 mA,exp5,3,3hb,3421.3477496182322,465.14269326725525,211.82340038845467
1000 mA,exp5,4,0hb,3580.4999999998895,83.70295407601036,149.99999999973275
150 mA,exp1,1,membrane,3058.29938306577,672.7927087971439,26.21574586078003
150 mA,exp1,2,4hb,3233.7487064548004,690.996686163294,179.55396392834732
150 mA,exp1,3,3hb,3416.453196288323,1379.5453759977217,201.76289110451748
150 mA,exp1,4,0hb,3580.4999999999995,263.48247468137714,149.99999999999997
150 mA,exp2,1,membrane,3057.6641304070113,316.5113451771591,26.123280255963103
150 mA,exp2,2,4hb,3229.745222846493,315.3883079920421,189.27637229383032
150 mA,exp2,3,3hb,3419.3662498986946,595.6763491746256,206.08716213778868
150 mA,exp2,4,0hb,3580.499999999967,97.09722463583832,149.99999999999815
150 mA,exp3,1,membrane,3058.20548618548,93.28933125979364,21.292159992450383
150 mA,exp3,2,4hb,3220.9979557828747,144.31381806821847,206.7028910310656
150 mA,exp3,3,3hb,3426.1330790062943,172.7174196288001,187.22602201674005
150 mA,exp3,4,0hb,3580.0000000000005,7.531188705179193,149.99999999999997
150 mA,exp4,1,membrane,3059.353070753463,303.7316389900871,30.033246596835856
150 mA,exp4,2,4hb,3227.3285499969506,333.24830870261013,188.48604683661316
150 mA,exp4,3,3hb,3417.3315697222,618.6625907998014,202.96852769641578
150 mA,exp4,4,0hb,3580.499999999399,89.63299584065508,149.9999999999902
200 mA,exp1,1,membrane,3058.477633314618,371.4256809728714,28.293694081506924
200 mA,exp1,2,4hb,3237.6546608314284,347.82954701623396,190.7945304651826
200 mA,exp1,3,3hb,3419.3217503192122,624.5414864903175,196.94743177923422
200 mA,exp1,4,0hb,3580.4999999999873,126.62192006305283,149.99999999986568
200 mA,exp2,1,membrane,3058.0523184333706,347.65404650061146,26.720165322591864
200 mA,exp2,2,4hb,3245.5969609678114,376.9255184010753,211.27766023475326
200 mA,exp2,3,3hb,3427.599477877081,599.5839304839626,193.40482321744852
200 mA,exp2,4,0hb,3580.4999999999995,122.83872937784294,149.99999999999997
200 mA,exp3,1,membrane,3058.1635698859686,461.6364324994663,27.642869011049793
200 mA,exp3,2,4hb,3230.3365014405417,410.2080144026498,182.41528438752187
200 mA,exp3,3,3hb,3417.4230253929836,755.0843295315866,205.4596796952406
200 mA,exp3,4,0hb,3580.499999999477,139.37962071666993,147.60833385476806
200 mA,exp4,1,membrane,3057.852331550477,1073.0872682095942,24.92472890693089
200 mA,exp4,2,4hb,3225.6256757065285,568.9964578051793,149.66101869070638
200 mA,exp4,3,3hb,3410.600959663934,1371.1660845545916,220.61560164285947
200 mA,exp4,4,0hb,3580.4999999999836,237.63592972813774,149.9999999846249
200 mA,exp5,1,membrane,3057.7449041763202,473.612917494651,25.030339945045043
200 mA,exp5,2,4hb,3238.6421696152206,405.35344227153206,180.85330345165812
200 mA,exp5,3,3hb,3420.5820991409105,734.6979262165208,195.66363693960298
200 mA,exp5,4,0hb,3580.4999999999554,152.31793293643622,149.99999999998954
300 mA,exp1,1,membrane,3058.5476105056896,424.57051967778716,26.776246844605218
300 mA,exp1,2,4hb,3232.740648302492,375.2181027685047,172.83256440368746
300 mA,exp1,3,3hb,3418.105141494816,692.0404393613337,200.6361771412277
300 mA,exp1,4,0hb,3580.0000000068344,146.78668292873206,149.99999773583474
300 mA,exp2,1,membrane,3058.8931176085102,474.9854209815653,24.350279318631713
300 mA,exp2,2,4hb,3251.9369976803287,450.377079791795,212.61428601944857
300 mA,exp2,3,3hb,3428.747611453149,674.8354818612438,195.638087613058
300 mA,exp2,4,0hb,3580.4999999999995,154.14437368762808,149.99999999999915
300 mA,exp3,1,membrane,3058.7103916375336,379.03466184335116,26.98915257025619
300 mA,exp3,2,4hb,3229.5619545372533,308.85386922719533,179.727185735396
300 mA,exp3,3,3hb,3418.7591462371383,592.5185513339857,218.24549721003868
300 mA,exp3,4,0hb,3580.499999999999,74.87264065160637,149.99999999999488
300 mA,exp4,1,membrane,3057.4873792368076,629.732042764903,26.29420264740837
300 mA,exp4,2,4hb,3254.0117826007718,569.8596838388733,198.19674388410002
300 mA,exp4,3,3hb,3428.0073344939055,867.0453492461572,184.12396100435183
300 mA,exp4,4,0hb,3580.4999999986558,240.3257007803359,149.9999999999172
300 mA,exp5,1,membrane,3058.1117300455153,603.0071677152382,25.61664626287921
300 mA,exp5,2,4hb,3254.9999999947518,577.1967768506403,199.53850598100757
300 mA,exp5,3,3hb,3433.590764727896,892.7235627637101,166.12875466055252
300 mA,exp5,4,0hb,3580.499999995593,203.77443052906935,149.99999887712255
300 mA,exp6,1,membrane,3058.2192656217167,292.9944831080834,24.295777578275484
300 mA,exp6,2,4hb,3252.7891776090573,299.3407558494463,204.6701426631171
300 mA,exp6,3,3hb,3428.7824662252174,458.49056838135346,187.66699863498863
300 mA,exp6,4,0hb,3580.4999999994984,92.22621570691473,132.28839027934134
300 mA,exp7,1,membrane,3057.727140817787,534.4778116014271,25.682512600389778
300 mA,exp7,2,4hb,3241.3662654235686,425.60937294057527,185.3198654849218
300 mA,exp7,3,3hb,3422.5476658586113,743.7629845081153,202.94403877246688
300 mA,exp7,4,0hb,3580.4999999992256,136.18265473415585,149.99999999976336
400 mA,exp1,1,membrane,3006.419398007399,38.3299545460647,8.092559530005593
400 mA,exp1,2,4hb,3213.0345844669496,283.07000387230244,162.73344213972968
400 mA,exp1,3,3hb,3413.0147936161607,650.4183645777983,239.81539538364478
400 mA,exp1,4,0hb,3580.4999999999995,111.4706169456222,149.99999999999997
500 mA,exp1,1,membrane,3057.726206492634,286.21456611444563,29.64862136236502
500 mA,exp1,2,4hb,3233.3288720570117,238.89183520369716,171.47744159999934
500 mA,exp1,3,3hb,3422.167338033972,418.33977241610216,209.18980272372139
500 mA,exp1,4,0hb,3580.4999999999995,90.97501814441182,149.99999999998096
500 mA,exp2,1,membrane,3057.952293016939,276.65430242991073,24.049927785885963
500 mA,exp2,2,4hb,3246.575775747181,226.60363287756314,192.41639383096958
500 mA,exp2,3,3hb,3433.009609703199,334.53168984914515,190.9402625715129
500 mA,exp2,4,0hb,3580.4999999999995,61.424619260832145,149.99999999999997
500 mA,exp3,1,membrane,3058.5326497030933,337.382422836944,26.859798211374667
500 mA,exp3,2,4hb,3248.5427130768517,262.5672986354956,219.41893192353928
500 mA,exp3,3,3hb,3433.753866953779,367.80442320187143,169.22173834374755
500 mA,exp3,4,0hb,3580.4999999997153,104.46170298251309,136.1013111360679
500 mA,exp4,1,membrane,3058.143339527156,353.3713819039876,26.06263942369861
500 mA,exp4,2,4hb,3254.9999999991155,271.6152206931198,210.41875382704782
500 mA,exp4,3,3hb,3423.2968207739646,374.59882944819566,156.55518329779812
500 mA,exp4,4,0hb,3580.4999999999995,171.01766460834764,149.99999999999997
500 mA,exp5,1,membrane,3057.6845174600294,449.7438758952187,25.535325629853308
500 mA,exp5,2,4hb,3242.362861804773,303.9914679047765,180.88961886496406
500 mA,exp5,3,3hb,3425.2551940202284,489.32770809331447,199.8267936942679
500 mA,exp5,4,0hb,3580.4999999999995,116.43941143088504,149.99999999999997
750 mA,exp1,1,membrane,3058.446562108497,417.4919113555341,26.57295258638313
750 mA,exp1,2,4hb,3237.6103956732554,283.2679933208185,184.00676507481123
750 mA,exp1,3,3hb,3425.60331947963,471.9248191335291,205.79779191155853
750 mA,exp1,4,0hb,3580.4999999999845,93.46357946502094,149.99999999999983
750 mA,exp2,1,membrane,3057.7933421170746,496.22673832295055,27.099472915810562
750 mA,exp2,2,4hb,3232.8265520156087,336.7982437353819,168.31147330204146
750 mA,exp2,3,3hb,3417.6238483231773,598.8463954379731,205.00264015365437
750 mA,exp2,4,0hb,3580.4999999992783,155.00307278122048,149.33294806994368
750 mA,exp3,1,membrane,3058.2878853296947,355.2650256675587,25.730052572422977
750 mA,exp3,2,4hb,3209.3301826270904,154.52205235921141,175.24008342043194
750 mA,exp3,3,3hb,3411.2078527271774,401.253207344669,255.05724811217434
750 mA,exp3,4,0hb,3580.499999995439,26.39286938921266,149.9999999999979
750 mA,exp4,1,membrane,3058.4178386436856,551.6896198533037,27.327658087003087
750 mA,exp4,2,4hb,3231.247623418811,338.43486694239186,173.83447582099635
750 mA,exp4,3,3hb,3420.627366963333,641.4158037954955,222.99721875274625
750 mA,exp4,4,0hb,3580.499999998568,105.78713098672029,149.99999929686564
