current_mA,current_density,peak_index,amp_mean,amp_std,fwhm_mean,fwhm_std,pos_mean,pos_std,species
0.5,0.0005,1,556.2863357952035,,55.01119330167314,,3075.528141190263,,0-HB
0.5,0.0005,2,9217.37561963273,,279.99999999999994,,3231.579864984208,,4-HB water
0.5,0.0005,3,11681.893823122822,,226.4567942465768,,3473.539744416542,,3-HB water
1.0,0.001,1,368.445719314115,,37.09062459359821,,3072.8804689325925,,0-HB
1.0,0.001,2,12344.113905345606,,279.99999999999994,,3261.98712753749,,4-HB water
1.0,0.001,3,18246.536483406213,,210.97065926334054,,3481.067799892889,,3-HB water
10.0,0.01,1,610.048591894656,,79.99999999954046,,3094.9324459287545,,0-HB
10.0,0.01,2,10194.420250357078,,215.6073197543307,,3240.2144139953193,,4-HB water
10.0,0.01,3,21367.45125852287,,218.0583586235058,,3454.302651015292,,3-HB water
25.0,0.025,1,1116.8682832614043,,79.99999999999999,,3103.985588470522,,0-HB
25.0,0.025,2,8251.286448268631,,175.76317351946466,,3225.387878707977,,4-HB water
25.0,0.025,3,23367.963107437943,,238.7590281729328,,3447.063046656123,,3-HB water
50.0,0.05,1,1281.8230881966936,,79.99999999999999,,3101.414392552041,,0-HB
50.0,0.05,2,6770.575693178617,,156.67469648152573,,3216.875242751064,,4-HB water
50.0,0.05,3,28099.270645712942,,266.5293802830941,,3448.6696124377872,,3-HB water
100.0,0.1,1,310.8799422641089,,59.45710376485822,,3090.159195831026,,0-HB
100.0,0.1,2,3105.569642602277,,192.8917758719077,,3211.7548638503313,,4-HB water
100.0,0.1,3,11550.074620397427,,279.99999999999994,,3432.645354393153,,3-HB water
150.0,0.15,1,169.80221867148813,,5.000000016111197,,3005.4209094358066,,0-HB
150.0,0.15,2,2687.504375614396,,279.99999999999994,,3223.0187750147043,,4-HB water
150.0,0.15,3,7918.354706374361,,279.99999999999994,,3430.4130520013814,,3-HB water
200.0,0.2,1,21.82529087643739,,62.66718835117237,,3099.5818812834946,,0-HB
200.0,0.2,2,130.880850359218,,184.64727499186463,,3204.6583420151915,,4-HB water
200.0,0.2,3,356.8847108881721,,279.99999999999994,,3417.718533008029,,3-HB water
