current_density,peak_index,pct_mean,pct_std,species
0.0005,2.0,43.10278137910951,,4-HB water
0.0005,3.0,54.917746990596406,,3-HB water
0.0005,4.0,1.9794716302940958,,0-HB
0.001,2.0,38.30904325409419,,4-HB water
0.001,3.0,59.635922022770075,,3-HB water
0.001,4.0,2.055034723135736,,0-HB
0.01,2.0,34.12060237574443,,4-HB water
0.01,3.0,61.101004740057206,,3-HB water
0.01,4.0,4.778392884198366,,0-HB
0.025,2.0,29.20811209547657,,4-HB water
0.025,3.0,59.22462902429469,,3-HB water
0.025,4.0,11.56725888022874,,0-HB
0.05,2.0,23.889078953148086,,4-HB water
0.05,3.0,60.18919830127424,,3-HB water
0.05,4.0,15.921722745577673,,0-HB
0.1,2.0,28.26383864521428,,4-HB water
0.1,3.0,54.521886289828444,,3-HB water
0.1,4.0,17.214275064957274,,0-HB
0.15,2.0,29.62136541143885,,4-HB water
0.15,3.0,57.086533884560296,,3-HB water
0.15,4.0,13.29210070400087,,0-HB
0.2,2.0,31.3767455350543,,4-HB water
0.2,3.0,63.11102705695151,,3-HB water
0.2,4.0,5.512227407994197,,0-HB
