sample,experiment,peak_index,peak_name,position,amplitude,fwhm
0.5 mA,exp1,2,4hb,3229.9577416637258,9049.902649609256,279.99999999999994
0.5 mA,exp1,3,3hb,3470.2451750358305,11530.584526075358,222.57177142849562
0.5 mA,exp1,4,0hb,3580.0000000000005,415.61182315040173,119.57956335920345
1 mA,exp1,2,4hb,3254.9999999999995,11933.702069921359,267.4585269180575
1 mA,exp1,3,3hb,3474.9999999986717,18577.267027120055,211.77490561859216
1 mA,exp1,4,0hb,3580.000000000001,640.1666563840442,149.99999999988765
10 mA,exp1,2,4hb,3254.999999997948,11210.13240187189,249.43626000786114
10 mA,exp1,3,3hb,3457.269011284179,20074.39216578307,197.63957135257021
10 mA,exp1,4,0hb,3580.499999999441,1569.9141624212746,149.99999999997806
25 mA,exp1,2,4hb,3254.9999999999995,10698.579761157944,238.43192067766626
25 mA,exp1,3,3hb,3449.8762904420673,21693.26847864072,187.84174281387672
25 mA,exp1,4,0hb,3580.4999999999995,4236.947644666677,149.99999999999997
50 mA,exp1,2,4hb,3254.9999999999995,10303.430352981039,224.66902870571238
50 mA,exp1,3,3hb,3446.198167492862,25959.779107231763,195.727042128694
50 mA,exp1,4,0hb,3580.4999999999995,6867.0860743635085,148.00896256642372
100 mA,exp1,2,4hb,3254.9999999999945,5399.524445632458,236.74033583507455
100 mA,exp1,3,3hb,3433.7708994684995,10415.862528063552,197.95079181034694
100 mA,exp1,4,0hb,3580.4999999999995,3288.6155413577017,149.99999999999997
150 mA,exp1,2,4hb,3254.9999999974493,3795.485533883855,251.20408380116675
150 mA,exp1,3,3hb,3429.5726895115986,7314.69027605147,213.31075077017297
150 mA,exp1,4,0hb,3580.499999999639,1703.1617292523758,142.91246095831133
200 mA,exp1,2,4hb,3213.3684876878497,171.3644718578646,230.14503926124837
200 mA,exp1,3,3hb,3424.3597455598588,344.68163079371385,248.76525310010277
200 mA,exp1,4,0hb,3580.0000000004325,30.105096064729157,109.41900692259055
