sample,experiment,wn,int
0.5 mA,exp1,3668.2832,42132.30078
0.5 mA,exp1,3667.59766,42500.01953
0.5 mA,exp1,3666.91309,42736.73047
0.5 mA,exp1,3666.22754,42315.66797
0.5 mA,exp1,3665.54199,42418.05469
0.5 mA,exp1,3664.85645,42375.83594
0.5 mA,exp1,3664.16992,42385.25391
0.5 mA,exp1,3663.48438,42387.78125
0.5 mA,exp1,3662.79883,42651.76563
0.5 mA,exp1,3662.11231,42465.07031
0.5 mA,exp1,3661.42578,42756.45313
0.5 mA,exp1,3660.74023,42717.64844
0.5 mA,exp1,3660.05371,42785.42578
0.5 mA,exp1,3659.36621,42409.79688
0.5 mA,exp1,3658.67969,42834.99219
0.5 mA,exp1,3657.99316,42741.22266
0.5 mA,exp1,3657.30566,43011.61719
0.5 mA,exp1,3656.61914,43007.14844
0.5 mA,exp1,3655.93164,42896.22656
0.5 mA,exp1,3655.24414,43166.4375
0.5 mA,exp1,3654.55664,42980.00781
0.5 mA,exp1,3653.86914,43253.53516
0.5 mA,exp1,3653.18164,43430.88281
0.5 mA,exp1,3652.49316,43244.50391
0.5 mA,exp1,3651.80566,43408.0625
0.5 mA,exp1,3651.11719,43276.625
0.5 mA,exp1,3650.42871,44057.30859
0.5 mA,exp1,3649.74023,43452.70313
0.5 mA,exp1,3649.05176,43389.87891
0.5 mA,exp1,3648.36328,43847.97266
0.5 mA,exp1,3647.67481,43976.97266
0.5 mA,exp1,3646.98535,43948.33594
0.5 mA,exp1,3646.29688,43786.13281
0.5 mA,exp1,3645.60742,43819.18359
0.5 mA,exp1,3644.91797,44554.10156
0.5 mA,exp1,3644.22852,43977.66797
0.5 mA,exp1,3643.53906,43918.25
0.5 mA,exp1,3642.84961,44854.63281
0.5 mA,exp1,3642.16016,44261.35156
0.5 mA,exp1,3641.46973,43952.19922
0.5 mA,exp1,3640.7793,44166.42969
0.5 mA,exp1,3640.08984,44736.19531
0.5 mA,exp1,3639.39941,44129.69141
0.5 mA,exp1,3638.70898,44931.6875
0.5 mA,exp1,3638.01856,44257.01563
0.5 mA,exp1,3637.32715,44508.56641
0.5 mA,exp1,3636.63672,44551.63672
0.5 mA,exp1,3635.94531,44567.35938
0.5 mA,exp1,3635.25488,44637.71875
0.5 mA,exp1,3634.56348,45189.48047
0.5 mA,exp1,3633.87207,44344.80469
0.5 mA,exp1,3633.18066,45097.78906
0.5 mA,exp1,3632.48926,44427.47656
0.5 mA,exp1,3631.79785,45043.6875
0.5 mA,exp1,3631.10547,45124.10547
0.5 mA,exp1,3630.41406,45013.49609
0.5 mA,exp1,3629.72168,44994.99609
0.5 mA,exp1,3629.0293,45368.58203
0.5 mA,exp1,3628.33691,44845.52344
0.5 mA,exp1,3627.64453,44850.91797
0.5 mA,exp1,3626.95215,45186.83594
0.5 mA,exp1,3626.25977,45498.77734
0.5 mA,exp1,3625.56641,45391.63672
0.5 mA,exp1,3624.87305,45471.84375
0.5 mA,exp1,3624.18066,45419.22266
0.5 mA,exp1,3623.48731,45383.64453
0.5 mA,exp1,3622.79395,45310.63281
0.5 mA,exp1,3622.10059,45547.33203
0.5 mA,exp1,3621.40625,45474.31641
0.5 mA,exp1,3620.71289,46231.37891
0.5 mA,exp1,3620.01953,46229.6875
0.5 mA,exp1,3619.3252,45636.28516
0.5 mA,exp1,3618.63086,45903.29688
0.5 mA,exp1,3617.93652,46027.4375
0.5 mA,exp1,3617.24219,45954.40234
0.5 mA,exp1,3616.54785,45782.84766
0.5 mA,exp1,3615.85352,46419.95703
0.5 mA,exp1,3615.1582,46207.61328
0.5 mA,exp1,3614.46387,46137.98828
0.5 mA,exp1,3613.76856,46197.41797
0.5 mA,exp1,3613.07324,46579.35156
0.5 mA,exp1,3612.37793,46652.25391
0.5 mA,exp1,3611.68262,46799.79297
0.5 mA,exp1,3610.98731,47106.75
0.5 mA,exp1,3610.29199,46568.85938
0.5 mA,exp1,3609.5957,46305.90625
0.5 mA,exp1,3608.90039,46816.25391
0.5 mA,exp1,3608.2041,46831.38281
0.5 mA,exp1,3607.50781,46809.21094
0.5 mA,exp1,3606.81152,46668.41797
0.5 mA,exp1,3606.11523,46937.71484
0.5 mA,exp1,3605.41895,46966.35547
0.5 mA,exp1,3604.72168,47259.20703
0.5 mA,exp1,3604.02539,46976.17578
0.5 mA,exp1,3603.32813,47001.40234
0.5 mA,exp1,3602.63086,46572.9375
0.5 mA,exp1,3601.93359,47356.46484
0.5 mA,exp1,3601.23633,46995.77734
0.5 mA,exp1,3600.53906,47108.94922
0.5 mA,exp1,3599.8418,47147.64844
0.5 mA,exp1,3599.14356,47210.00781
0.5 mA,exp1,3598.44629,47431.29297
0.5 mA,exp1,3597.74805,47527.38672
0.5 mA,exp1,3597.04981,47799.23828
0.5 mA,exp1,3596.35156,47689.03906
0.5 mA,exp1,3595.65332,48275.04297
0.5 mA,exp1,3594.95508,47901.25
0.5 mA,exp1,3594.25586,48345.10938
0.5 mA,exp1,3593.55762,48238.26563
0.5 mA,exp1,3592.8584,47942.34766
0.5 mA,exp1,3592.16016,48031.4375
0.5 mA,exp1,3591.46094,47816.67578
0.5 mA,exp1,3590.76172,47912.50391
0.5 mA,exp1,3590.06152,48251.25
0.5 mA,exp1,3589.36231,48411.05859
0.5 mA,exp1,3588.66309,48871.02344
0.5 mA,exp1,3587.96289,48551.74609
0.5 mA,exp1,3587.2627,49288.01172
0.5 mA,exp1,3586.56348,49214.87891
0.5 mA,exp1,3585.86328,48990.08984
0.5 mA,exp1,3585.16309,48910.29297
0.5 mA,exp1,3584.46191,49130.41016
0.5 mA,exp1,3583.76172,49000.08203
0.5 mA,exp1,3583.06152,49071.89453
0.5 mA,exp1,3582.36035,48843.96094
0.5 mA,exp1,3581.65918,49353.48047
0.5 mA,exp1,3580.95801,49216.46484
0.5 mA,exp1,3580.25684,50260.87891
0.5 mA,exp1,3579.55566,49242.07422
0.5 mA,exp1,3578.85449,49650.19922
0.5 mA,exp1,3578.15332,49466.12891
0.5 mA,exp1,3577.45117,49981.68359
0.5 mA,exp1,3576.74902,49861.5
0.5 mA,exp1,3576.04785,49569.89844
0.5 mA,exp1,3575.3457,50108.67188
0.5 mA,exp1,3574.64356,49796.96094
0.5 mA,exp1,3573.94043,49962.51172
0.5 mA,exp1,3573.23828,50682.32031
0.5 mA,exp1,3572.53613,49890.34375
0.5 mA,exp1,3571.83301,50216.97266
