current_density,peak_index,pct_mean,pct_std,species
0.1,2.0,27.29747786644912,5.639681238486245,4-HB water
0.1,3.0,72.70252213355089,34.91571886210931,3-HB water
0.15,2.0,26.136069346943025,11.710671493228467,4-HB water
0.15,3.0,73.86393065305698,53.40908684327685,3-HB water
0.2,2.0,23.500726502123122,5.890273443854491,4-HB water
0.2,3.0,76.49927349787689,27.77058079811599,3-HB water
0.3,2.0,26.484860750266982,7.966619809638192,4-HB water
0.3,3.0,73.51513924973302,15.450747652177876,3-HB water
0.4,2.0,25.548913055659884,,4-HB water
0.4,3.0,74.45108694434012,,3-HB water
0.5,2.0,28.51708084510693,3.993237671122038,4-HB water
0.5,3.0,71.48291915489308,10.247886356338986,3-HB water
0.75,2.0,26.5771990911512,6.744417364069959,4-HB water
0.75,3.0,73.4228009088488,15.307751837851493,3-HB water
1.0,2.0,25.370290235817823,3.1923063158216283,4-HB water
1.0,3.0,74.62970976418217,3.430950252919811,3-HB water
