3750.169922	1895.102661	3750.169922	1687.275391	3750.169922	1863.400269	3750.169922	2243.829834	3750.169922	1895.102661
3749.5	1881.012695	3749.5	1743.635376	3749.5	1891.5802	3749.5	2233.262207	3749.5	2011.345093
3748.830078	1982.795532	3748.830078	1718.657593	3748.830078	2014.492065	3748.830078	2208.193115	3748.830078	2007.448364
3748.160156	1880.311768	3748.160156	1588.053589	3748.160156	1985.947266	3748.160156	2271.163086	3748.160156	2010.595581
3747.489258	1918.687256	3747.489258	1633.524536	3747.489258	1932.769409	3747.489258	2267.219482	3747.489258	2066.549316
3746.819336	1967.608154	3746.819336	1745.856201	3746.819336	1777.535034	3746.819336	2203.439453	3746.819336	2030.96582
3746.148438	1921.491821	3746.148438	1752.569458	3746.148438	1819.43457	3746.148438	2188.952393	3746.148438	2005.953003
3745.477539	2082.987793	3745.477539	1650.204956	3745.477539	1787.428833	3745.477539	2265.953125	3745.477539	2023.172363
3744.806641	1889.115356	3744.806641	1590.093384	3744.806641	1920.776489	3744.806641	2364.032715	3744.806641	1945.401855
3744.135742	1916.901733	3744.135742	1596.831909	3744.135742	1902.832764	3744.135742	2360.075439	3744.135742	1987.246704
3743.464844	1856.762817	3743.464844	1621.150879	3743.464844	1941.161133	3743.464844	2303.370605	3743.464844	1944.677734
3742.793945	1842.353638	3742.793945	1705.231934	3742.793945	1856.417358	3742.793945	2250.202881	3742.793945	1919.704346
3742.12207	1898.255493	3742.12207	1757.644043	3742.12207	1859.587402	3742.12207	2239.238525	3742.12207	2003.714111
3741.451172	1855.726807	3741.451172	1687.024414	3741.451172	1922.504883	3741.451172	2221.248779	3741.451172	1961.165894
3740.779297	1844.839844	3740.779297	1774.560181	3740.779297	1855.381714	3740.779297	2206.779785	3740.779297	2024.052856
3740.107422	1893.68335	3740.107422	1721.530273	3740.107422	1809.363525	3740.107422	2255.556152	3740.107422	2051.783203
3739.435547	1946.021484	3739.435547	1679.058228	3739.435547	1928.458008	3739.435547	2286.750732	3739.435547	2083.015625
3738.763672	1935.123657	3738.763672	1678.746094	3738.763672	1882.443359	3738.763672	2163.405029	3738.763672	2072.092529
3738.091797	1899.650391	3738.091797	1537.97937	3738.091797	1846.979858	3738.091797	2222.696289	3738.091797	2068.196045
3737.419922	1987.065308	3737.419922	1597.375854	3737.419922	1864.190186	3737.419922	2145.047607	3737.419922	1997.597412
3736.74707	1934.045166	3736.74707	1656.750122	3736.74707	1912.984741	3736.74707	2232.400635	3736.74707	1997.226318
3736.074219	1891.572998	3736.074219	1526.594116	3736.074219	1800.328247	3736.074219	2260.061279	3736.074219	1909.119995
3735.402344	1873.677856	3735.402344	1719.29248	3735.402344	1866.6604	3735.402344	2284.202881	3735.402344	2080.694824
3734.729492	1950.508301	3734.729492	1645.302856	3734.729492	1880.346191	3734.729492	2318.859619	3734.729492	1922.443481
3734.056641	1883.504517	3734.056641	1655.519775	3734.056641	1795.818115	3734.056641	2251.787598	3734.056641	2093.951904
3733.383789	1802.498291	3733.383789	1553.515137	3733.383789	1858.607178	3733.383789	2310.985107	3733.383789	2016.413452
3732.709961	1802.163818	3732.709961	1654.905273	3732.709961	1805.669922	3732.709961	2275.494629	3732.709961	1977.471558
3732.037109	1808.840332	3732.037109	1668.620117	3732.037109	1928.027466	3732.037109	2257.544922	3732.037109	2029.687134
3731.364258	1899.630981	3731.364258	1566.6698	3731.364258	1829.533813	3731.364258	2257.125977	3731.364258	2008.281372
3730.69043	1843.211182	3730.69043	1671.505249	3730.69043	1755.606201	3730.69043	2141.068604	3730.69043	2007.908813
3730.016602	1881.408447	3730.016602	1720.244995	3730.016602	1898.926147	3730.016602	2228.260254	3730.016602	1965.493774
