3750.169922	1648.527954	3750.169922	1859.877686	3750.169922	1669.662964	3750.169922	1789.427856	3750.169922	1803.517822	3750.169922	1497.060669	3750.169922	1687.275391
3749.5	1814.085327	3749.5	1845.78772	3749.5	1637.960449	3749.5	1951.462646	3749.5	1821.130249	3749.5	1539.330566	3749.5	1595.690552
3748.830078	1743.310425	3748.830078	1739.788574	3748.830078	1556.652954	3748.830078	1901.793213	3748.830078	1891.227661	3748.830078	1574.262207	3748.830078	1743.310425
3748.160156	1693.689087	3748.160156	1823.972778	3748.160156	1640.871338	3748.160156	1887.354126	3748.160156	1764.112671	3748.160156	1542.278198	3748.160156	1637.350098
3747.489258	1700.414551	3747.489258	1806.030396	3747.489258	1679.291382	3747.489258	1798.98938	3747.489258	1622.963013	3747.489258	1591.278198	3747.489258	1707.455688
3746.819336	1795.134399	3746.819336	1724.736938	3746.819336	1675.45874	3746.819336	1812.733765	3746.819336	1781.054932	3746.819336	1495.945312	3746.819336	1640.26001
3746.148438	1752.569458	3746.148438	1854.626831	3746.148438	1622.358521	3746.148438	1939.088013	3746.148438	1801.838501	3746.148438	1559.012695	3746.148438	1671.627563
3745.477539	1896.50415	3745.477539	1787.428833	3745.477539	1702.983398	3745.477539	1861.318604	3745.477539	1797.984497	3745.477539	1639.649292	3745.477539	1664.279175
3744.806641	1846.900513	3744.806641	1783.578125	3744.806641	1568.985962	3744.806641	1811.721436	3744.806641	1850.418335	3744.806641	1551.396362	3744.806641	1632.308228
3744.135742	1797.315186	3744.135742	1874.694702	3744.135742	1660.142456	3744.135742	1927.453491	3744.135742	1843.039429	3744.135742	1635.521606	3744.135742	1663.659668
3743.464844	1709.065796	3743.464844	1726.648804	3743.464844	1659.833496	3743.464844	1754.781616	3743.464844	1768.848022	3743.464844	1505.103271	3743.464844	1761.814819
3742.793945	1803.678223	3742.793945	1863.449341	3742.793945	1677.10437	3742.793945	1873.99707	3742.793945	1810.710205	3742.793945	1494.275391	3742.793945	1828.289917
3742.12207	1694.368774	3742.12207	1863.102661	3742.12207	1718.97583	3742.12207	1884.194336	3742.12207	1806.858032	3742.12207	1683.822998	3742.12207	1775.220459
3741.451172	1669.451172	3741.451172	1841.668335	3741.451172	1753.80249	3741.451172	1767.860962	3741.451172	1767.860962	3741.451172	1662.421997	3741.451172	1711.626831
3740.779297	1728.878418	3740.779297	1767.532227	3740.779297	1725.364502	3740.779297	1820.241943	3740.779297	1774.560181	3740.779297	1609.403076	3740.779297	1711.308594
3740.107422	1760.17688	3740.107422	1693.423706	3740.107422	1619.643799	3740.107422	1886.656738	3740.107422	1742.610352	3740.107422	1475.597412	3740.107422	1732.070312
3739.435547	1745.799072	3739.435547	1731.748291	3739.435547	1633.393433	3739.435547	1868.742554	3739.435547	1731.748291	3739.435547	1464.785034	3739.435547	1763.362427
3738.763672	1850.835205	3738.763672	1752.498535	3738.763672	1622.553833	3738.763672	1759.522583	3738.763672	1875.419312	3738.763672	1499.633057	3738.763672	1720.890381
3738.091797	1713.547852	3738.091797	1731.104614	3738.091797	1573.09314	3738.091797	1875.070801	3738.091797	1804.843384	3738.091797	1559.047607	3738.091797	1755.684204
3737.419922	1765.890137	3737.419922	1737.804443	3737.419922	1632.48291	3737.419922	1822.061646	3737.419922	1755.358032	3737.419922	1523.650757	3737.419922	1625.461548
3736.74707	1660.260132	3736.74707	1832.253296	3736.74707	1597.078979	3736.74707	1856.82373	3736.74707	1719.931274	3736.74707	1632.179688	3736.74707	1660.260132
3736.074219	1677.498901	3736.074219	1884.554199	3736.074219	1719.611816	3736.074219	1863.497681	3736.074219	1796.818848	3736.074219	1638.895264	3736.074219	1744.177734
3735.402344	1656.134766	3735.402344	1670.1698	3735.402344	1673.678589	3735.402344	1831.572754	3735.402344	1856.134033	3735.402344	1536.836914	3735.402344	1736.836182
3734.729492	1771.594849	3734.729492	1904.902954	3734.729492	1631.270508	3734.729492	1834.740723	3734.729492	1775.102905	3734.729492	1473.405518	3734.729492	1610.221802
