3750.169922	1729.54541
3749.5	1757.725342
3748.830078	1873.61853
3748.160156	1778.197388
3747.489258	1739.140381
3746.819336	1643.779907
3746.148438	1794.800049
3745.477539	1748.724609
3744.806641	1751.916992
3744.135742	1719.935669
3743.464844	1835.66333
3742.793945	1768.518799
3742.12207	1838.495605
3741.451172	1869.7854
3740.779297	1693.738647
3740.107422	1700.450317
3739.435547	1738.773682
3738.763672	1805.178833
3738.091797	1695.990967
3737.419922	1808.018799
3736.74707	1705.890991
3736.074219	1877.535278
3735.402344	1715.783691
3734.729492	1697.924561
3734.056641	1743.206177
3733.383789	1770.937134
3732.709961	1837.225342
3732.037109	1661.609131
3731.364258	1871.592041
3730.69043	1734.580933
3730.016602	1748.273438
3729.342773	1832.018799
3728.668945	1768.63855
3727.995117	1834.841064
3727.321289	1894.017212
3726.646484	1813.159058
3725.972656	1767.327515
3725.297852	1847.477173
3724.623047	1787.66272
3723.948242	1867.779053
3723.273438	1825.468262
3722.598633	1786.669556
3721.923828	1831.783691
3721.248047	1716.105469
3720.573242	1806.644165
3719.897461	1774.865356
3719.22168	1687.207275
3718.545898	1753.253174
3717.870117	1662.139648
3717.194336	1640.884644
3716.518555	1773.223877
3715.841797	1797.325562
3715.166016	1713.249756
3714.489258	1800.149536
3713.8125	1820.744751
3713.135742	1726.249146
3712.458984	1837.505249
3711.782227	1830.193481
3711.105469	1756.661011
3710.427734	1711.03418
3709.750977	1822.210815
3709.073242	1787.039062
3708.395508	1814.571899
3707.717773	1810.754517
3707.040039	1827.828003
3706.362305	1754.390869
3705.683594	1844.554443
3705.005859	1892.928955
3704.327148	1763.856323
3703.648438	1836.576416
3702.969727	1919.702759
3702.291016	1839.37561
3701.612305	1839.036133
3700.933594	1835.221069
3700.254883	1855.733398
3699.575195	1792.849731
3698.895508	1719.567749
3698.216797	1868.599609
3697.537109	1805.748291
3696.857422	1808.887207
3696.176758	1773.840576
3695.49707	1867.22168
3694.817383	1710.725952
3694.136719	1814.49231
3693.456055	1800.282837
3692.776367	1966.420532
3692.095703	1893.241211
3691.415039	1747.285156
3690.733398	1899.47583
3690.052734	1843.677002
3689.37207	1836.407471
3688.69043	1874.17627
3688.008789	1856.512817
3687.327148	1766.13269
3686.645508	1852.366577
3685.963867	1831.255005
3685.282227	1799.767944
3684.600586	1799.436523
3683.917969	1837.163208
3683.236328	1871.416748
3682.553711	1801.901367
3681.871094	1825.775024
3681.188477	1870.383423
3680.505859	1856.212646
3679.823242	1866.238892
3679.139648	1765.689941
3678.457031	1920.827759
3677.773438	1896.295654
3677.089844	1882.132812
3676.40625	1809.277344
3675.722656	1922.866455
3675.039062	1815.514771
3674.355469	1811.729736
3673.671875	1849.349609
3672.987305	1852.458984
3672.302734	1941.792603
3671.619141	1806.94873
3670.93457	1899.705444
3670.25	1875.226318
3669.564453	1888.667358
3668.879883	1874.536621
3668.195312	1763.945312
3667.509766	1866.95813
3666.824219	1880.390625
3666.138672	1855.941772
3665.453125	1790.189697
3664.767578	1896.563843
3664.082031	1837.711304
3663.396484	1871.781128
3662.709961	1888.637817
3662.024414	1853.895508
3661.337891	1884.504639
3660.651367	1987.305664
3659.964844	1956.001831
3659.27832	1883.465698
3658.591797	1924.355713
3657.904297	1927.437744
3657.217773	1892.732666
3656.530273	1885.515991
3655.842773	1998.485596
3655.155273	1908.855347
3654.467773	1867.313843
3653.780273	1904.721924
3653.092773	1928.391113
3652.405273	2048.110107
3651.716797	1865.941772
3651.02832	1841.593018
3650.34082	1878.971191
3649.652344	1875.197876
3648.962891	1840.578125
3648.274414	1864.228149
3647.585938	1952.968384
3646.897461	2021.122192
3646.208008	1921.425903
3645.518555	2054.623291
3644.829102	2030.279785
3644.139648	1906.674683
3643.450195	1875.521973
3642.760742	2012.051636
3642.071289	1932.993774
3641.380859	2024.994873
3640.691406	2113.542236
3640.000977	1887.477173
3639.310547	1924.736328
3638.620117	1927.800781
3637.929688	1985.543457
3637.238281	1841.671875
3636.547852	1981.397827
3635.857422	2022.020752
3635.166016	1990.914795
3634.474609	1915.43396
3633.783203	1983.355957
3633.091797	1948.86084
3632.400391	1856.367065
3631.708984	2036.852051
3631.016602	2050.122559
3630.325195	1937.19751
3629.632812	2001.630249
3628.94043	2096.723145
3628.248047	2048.616455
3627.555664	1966.446777
3626.863281	2024.011719
3626.169922	1965.724243
3625.477539	1961.956909
3624.78418	2077.38501
3624.091797	2049.763916
3623.398438	1998.322876
3622.705078	1943.496948
3622.010742	2079.261719
3621.317383	2075.477295
3620.624023	2047.88147
3619.929688	1952.272339
3619.236328	2077.733887
3618.541992	2022.953247
3617.847656	2019.182129
3617.15332	2035.804443
3616.458984	2038.828369
3615.763672	1960.312866
3615.069336	2065.253418
3614.374023	2024.119751
