interval_mA_low,interval_mA_high,interval_label,peak_index,species,stark_slope,stark_slope_err
50.0,200.0,0.05–0.2,2,4-HB water,-0.6522169431550144,1.2645516759195208
50.0,200.0,0.05–0.2,3,3-HB water,-11.49338412479478,3.46463899084213
200.0,400.0,0.2–0.4,2,4-HB water,2.7790548938605757,3.8161164467678006
200.0,400.0,0.2–0.4,3,3-HB water,36.82921084061065,0.911132249469027
400.0,750.0,0.4–0.75,2,4-HB water,-19.26111062234935,8.175751636032285
400.0,750.0,0.4–0.75,3,3-HB water,-21.526747035644107,2.933231518264588
