interval_mA_low,interval_mA_high,interval_label,peak_index,species,stark_slope,stark_slope_err
50.0,200.0,0.05–0.2,2,4-HB water,-5.94623869015801,7.242550501170437
50.0,200.0,0.05–0.2,3,3-HB water,-16.366669362024,5.8997696017961445
200.0,400.0,0.2–0.4,2,4-HB water,6.97504798036505,6.347095839447995
200.0,400.0,0.2–0.4,3,3-HB water,34.44730279948545,2.0459187082084296
400.0,750.0,0.4–0.75,2,4-HB water,-8.924156782513817,15.579875729912857
400.0,750.0,0.4–0.75,3,3-HB water,-14.953119145003415,2.668560905415503
