sample,experiment,wn,int,current_A,cell_voltage
150 mA,exp1,3005.03027,7337.25342,0.15,4.78
150 mA,exp1,3004.21777,7309.66602,0.15,4.78
150 mA,exp1,3003.4043,7493.96338,0.15,4.78
150 mA,exp1,3002.59082,7463.45361,0.15,4.78
150 mA,exp1,3001.77734,7247.27686,0.15,4.78
150 mA,exp2,3750.19922,4663.8169,0.15,4.78
150 mA,exp2,3749.5293,4744.83496,0.15,4.78
150 mA,exp2,3748.85938,4740.42871,0.15,4.78
150 mA,exp2,3748.18945,4683.20654,0.15,4.78
150 mA,exp2,3747.51856,4692.89551,0.15,4.78
150 mA,exp2,3746.84863,4787.05859,0.15,4.78
150 mA,exp2,3746.17773,4768.5708,0.15,4.78
150 mA,exp2,3745.50684,4612.86523,0.15,4.78
150 mA,exp2,3744.83594,4682.36523,0.15,4.78
150 mA,exp2,3744.16504,4709.63184,0.15,4.78
150 mA,exp2,3743.49414,4691.17236,0.15,4.78
150 mA,exp2,3742.82324,4841.48633,0.15,4.78
150 mA,exp2,3742.15137,4791.37109,0.15,4.78
150 mA,exp2,3741.48047,4706.12842,0.15,4.78
150 mA,exp2,3740.80859,4687.68311,0.15,4.78
150 mA,exp2,3740.13672,4767.61865,0.15,4.78
150 mA,exp2,3739.46484,4696.47803,0.15,4.78
150 mA,exp2,3738.79297,4586.73193,0.15,4.78
150 mA,exp2,3738.12109,4649.08447,0.15,4.78
150 mA,exp2,3737.44922,4735.98926,0.15,4.78
150 mA,exp2,3736.77637,4664.90772,0.15,4.78
150 mA,exp2,3736.10352,4611.39941,0.15,4.78
150 mA,exp2,3735.43164,4729.8418,0.15,4.78
150 mA,exp2,3734.75879,4792.10986,0.15,4.78
150 mA,exp2,3734.08594,4742.11523,0.15,4.78
150 mA,exp2,3733.41309,4664.08496,0.15,4.78
150 mA,exp2,3732.73926,4652.70068,0.15,4.78
150 mA,exp2,3732.06641,4742.98096,0.15,4.78
150 mA,exp2,3731.39356,4580.87647,0.15,4.78
150 mA,exp2,3730.71973,4716.69141,0.15,4.78
150 mA,exp2,3730.0459,4670.27002,0.15,4.78
150 mA,exp2,3729.37207,4613.35693,0.15,4.78
150 mA,exp2,3728.69824,4808.6294,0.15,4.78
150 mA,exp2,3728.02441,4667.67236,0.15,4.78
150 mA,exp2,3727.35059,4771.83643,0.15,4.78
150 mA,exp2,3726.67578,4634.43897,0.15,4.78
150 mA,exp2,3726.00195,4640.57959,0.15,4.78
150 mA,exp2,3725.32715,4779.68115,0.15,4.78
150 mA,exp2,3724.65234,4775.29688,0.15,4.78
150 mA,exp2,3723.97852,4617.01416,0.15,4.78
150 mA,exp2,3723.30371,4846.9668,0.15,4.78
150 mA,exp2,3722.62793,4758.6582,0.15,4.78
150 mA,exp2,3721.95313,4705.34033,0.15,4.78
150 mA,exp2,3721.27832,4683.49805,0.15,4.78
150 mA,exp2,3720.60254,4749.02637,0.15,4.78
150 mA,exp2,3719.92676,4804.04932,0.15,4.78
150 mA,exp2,3719.25195,4757.74805,0.15,4.78
150 mA,exp2,3718.57617,4788.30078,0.15,4.78
150 mA,exp2,3717.90039,4794.39893,0.15,4.78
150 mA,exp2,3717.22363,4793.51172,0.15,4.78
150 mA,exp2,3716.54785,4792.625,0.15,4.78
150 mA,exp2,3715.87207,4732.40869,0.15,4.78
150 mA,exp2,3715.19531,4815.27783,0.15,4.78
150 mA,exp2,3714.51856,4720.19287,0.15,4.78
150 mA,exp2,3713.8418,4768.15234,0.15,4.78
150 mA,exp2,3713.16602,4721.93506,0.15,4.78
150 mA,exp2,3712.48828,4710.60156,0.15,4.78
150 mA,exp2,3711.81152,4765.50879,0.15,4.78
150 mA,exp2,3711.13477,4687.94775,0.15,4.78
150 mA,exp2,3710.45703,4812.53516,0.15,4.78
150 mA,exp2,3709.78027,4863.90869,0.15,4.78
150 mA,exp2,3709.10254,4713.21826,0.15,4.78
150 mA,exp2,3708.42481,4747.17627,0.15,4.78
150 mA,exp2,3707.74707,4864.6958,0.15,4.78
150 mA,exp2,3707.06934,4822.01807,0.15,4.78
150 mA,exp2,3706.3916,4723.66065,0.15,4.78
150 mA,exp2,3705.71289,4768.03272,0.15,4.78
150 mA,exp2,3705.03516,4857.62402,0.15,4.78
150 mA,exp2,3704.35645,4700.1709,0.15,4.78
150 mA,exp2,3703.67871,4890.61475,0.15,4.78
150 mA,exp2,3703.0,4635.83643,0.15,4.78
150 mA,exp2,3702.32129,4746.24805,0.15,4.78
150 mA,exp2,3701.64258,4707.13135,0.15,4.78
150 mA,exp2,3700.96289,4841.81982,0.15,4.78
150 mA,exp2,3700.28418,5018.16065,0.15,4.78
150 mA,exp2,3699.60449,4951.21875,0.15,4.78
150 mA,exp2,3698.92578,4717.5542,0.15,4.78
150 mA,exp2,3698.24609,4817.40869,0.15,4.78
150 mA,exp2,3697.56641,4781.79395,0.15,4.78
150 mA,exp2,3696.88672,4937.15088,0.15,4.78
150 mA,exp2,3696.20703,4880.69922,0.15,4.78
150 mA,exp2,3695.52637,4945.74268,0.15,4.78
150 mA,exp2,3694.84668,4861.54932,0.15,4.78
150 mA,exp2,3694.16602,4850.24512,0.15,4.78
150 mA,exp2,3693.48633,4932.60156,0.15,4.78
150 mA,exp2,3692.80566,4949.0332,0.15,4.78
150 mA,exp2,3692.125,4916.91357,0.15,4.78
150 mA,exp2,3691.44434,4798.13428,0.15,4.78
150 mA,exp2,3690.76367,5032.95313,0.15,4.78
150 mA,exp2,3690.08203,4834.48779,0.15,4.78
150 mA,exp2,3689.40137,4972.19482,0.15,4.78
150 mA,exp2,3688.71973,4794.59912,0.15,4.78
150 mA,exp2,3688.03906,4914.94434,0.15,4.78
150 mA,exp2,3687.35742,4900.18701,0.15,4.78
150 mA,exp2,3686.67578,5079.32861,0.15,4.78
150 mA,exp2,3685.99414,4936.46143,0.15,4.78
150 mA,exp2,3685.3125,4980.54688,0.15,4.78
150 mA,exp2,3684.62988,4913.88037,0.15,4.78
150 mA,exp2,3683.94824,5027.15039,0.15,4.78
150 mA,exp2,3683.26563,4797.91748,0.15,4.78
150 mA,exp2,3682.58301,5080.63672,0.15,4.78
150 mA,exp2,3681.90137,4944.8418,0.15,4.78
150 mA,exp2,3681.21875,5030.36426,0.15,4.78
150 mA,exp2,3680.53516,4911.91162,0.15,4.78
150 mA,exp2,3679.85254,5052.70459,0.15,4.78
150 mA,exp2,3679.16992,4989.57764,0.15,4.78
150 mA,exp2,3678.48633,5126.84961,0.15,4.78
150 mA,exp2,3677.80371,5139.72266,0.15,4.78
150 mA,exp2,3677.12012,5076.61426,0.15,4.78
150 mA,exp2,3676.43652,5099.8501,0.15,4.78
150 mA,exp2,3675.75293,5081.65039,0.15,4.78
150 mA,exp2,3675.06934,5208.42383,0.15,4.78
150 mA,exp2,3674.38477,5017.66406,0.15,4.78
150 mA,exp2,3673.70117,5023.6416,0.15,4.78
150 mA,exp2,3673.01758,5036.51611,0.15,4.78
150 mA,exp2,3672.33301,5149.40772,0.15,4.78
150 mA,exp2,3671.64844,5020.87012,0.15,4.78
150 mA,exp2,3670.96387,4947.54346,0.15,4.78
150 mA,exp2,3670.2793,5087.96582,0.15,4.78
150 mA,exp2,3669.59473,5076.69092,0.15,4.78
150 mA,exp2,3668.91016,5161.90381,0.15,4.78
150 mA,exp2,3668.22461,5009.36426,0.15,4.78
150 mA,exp2,3667.54004,5170.33936,0.15,4.78
150 mA,exp2,3666.85449,5262.37549,0.15,4.78
150 mA,exp2,3666.16895,5264.85156,0.15,4.78
150 mA,exp2,3665.4834,5157.15967,0.15,4.78
150 mA,exp2,3664.79785,5273.2417,0.15,4.78
150 mA,exp2,3664.11231,5392.72266,0.15,4.78
150 mA,exp2,3663.42578,5205.92822,0.15,4.78
150 mA,exp2,3662.74023,5235.93262,0.15,4.78
150 mA,exp2,3662.05371,5265.92578,0.15,4.78
150 mA,exp2,3661.36816,5158.35205,0.15,4.78
150 mA,exp2,3660.68164,5305.24951,0.15,4.78
150 mA,exp2,3659.99512,5376.46484,0.15,4.78
150 mA,exp2,3659.30859,5117.70117,0.15,4.78
150 mA,exp2,3658.62109,5364.1792,0.15,4.78
150 mA,exp2,3657.93457,5308.22168,0.15,4.78
150 mA,exp2,3657.24707,5365.64307,0.15,4.78
150 mA,exp2,3656.56055,5381.8291,0.15,4.78
150 mA,exp2,3655.87305,5222.8833,0.15,4.78
150 mA,exp2,3655.18555,5335.21973,0.15,4.78
150 mA,exp2,3654.49805,5279.31787,0.15,4.78
150 mA,exp2,3653.81055,5391.60205,0.15,4.78
150 mA,exp2,3653.12305,5435.21875,0.15,4.78
150 mA,exp2,3652.43457,5296.99219,0.15,4.78
150 mA,exp2,3651.74707,5491.53272,0.15,4.78
150 mA,exp2,3651.05859,5339.62842,0.15,4.78
150 mA,exp2,3650.37012,5444.94043,0.15,4.78
150 mA,exp2,3649.68164,5587.92334,0.15,4.78
150 mA,exp2,3648.99316,5388.09912,0.15,4.78
150 mA,exp2,3648.30469,5428.23193,0.15,4.78
150 mA,exp2,3647.61621,5341.57764,0.15,4.78
150 mA,exp2,3646.92676,5450.21729,0.15,4.78
150 mA,exp2,3646.23828,5531.4165,0.15,4.78
150 mA,exp2,3645.54883,5448.21484,0.15,4.78
150 mA,exp2,3644.85938,5412.97607,0.15,4.78
150 mA,exp2,3644.16992,5388.01953,0.15,4.78
150 mA,exp2,3643.48047,5465.74756,0.15,4.78
150 mA,exp2,3642.79102,5372.35254,0.15,4.78
150 mA,exp2,3642.10059,5491.10938,0.15,4.78
150 mA,exp2,3641.41113,5459.31494,0.15,4.78
150 mA,exp2,3640.7207,5468.57227,0.15,4.78
150 mA,exp2,3640.03125,5416.27686,0.15,4.78
150 mA,exp2,3639.34082,5558.86914,0.15,4.78
150 mA,exp2,3638.65039,5373.27002,0.15,4.78
150 mA,exp2,3637.95996,5676.43897,0.15,4.78
150 mA,exp2,3637.26856,5227.78809,0.15,4.78
150 mA,exp2,3636.57813,5377.1416,0.15,4.78
150 mA,exp2,3635.88672,5550.34912,0.15,4.78
150 mA,exp2,3635.19629,5699.58838,0.15,4.78
150 mA,exp2,3634.50488,5609.76856,0.15,4.78
150 mA,exp2,3633.81348,5543.87744,0.15,4.78
150 mA,exp2,3633.12207,5481.42334,0.15,4.78
150 mA,exp2,3632.43066,5565.72754,0.15,4.78
150 mA,exp2,3631.73828,5592.0,0.15,4.78
150 mA,exp2,3631.04688,5642.14063,0.15,4.78
150 mA,exp2,3630.35449,5419.4165,0.15,4.78
150 mA,exp2,3629.66309,5588.91846,0.15,4.78
150 mA,exp2,3628.9707,5673.125,0.15,4.78
150 mA,exp2,3628.27832,5580.04785,0.15,4.78
150 mA,exp2,3627.58594,5684.67285,0.15,4.78
150 mA,exp2,3626.89356,5550.73779,0.15,4.78
150 mA,exp2,3626.2002,5621.26123,0.15,4.78
150 mA,exp2,3625.50781,5644.07178,0.15,4.78
150 mA,exp2,3624.81445,5714.55176,0.15,4.78
150 mA,exp2,3624.12109,5740.7417,0.15,4.78
150 mA,exp2,3623.42871,5586.49219,0.15,4.78
150 mA,exp2,3622.73535,5803.30225,0.15,4.78
150 mA,exp2,3622.04102,5512.9751,0.15,4.78
150 mA,exp2,3621.34766,5603.82813,0.15,4.78
150 mA,exp2,3620.6543,5749.07666,0.15,4.78
150 mA,exp2,3619.95996,5656.18799,0.15,4.78
150 mA,exp2,3619.2666,5726.56055,0.15,4.78
150 mA,exp2,3618.57227,5521.51123,0.15,4.78
150 mA,exp2,3617.87793,5710.8584,0.15,4.78
150 mA,exp2,3617.18359,5811.77002,0.15,4.78
150 mA,exp2,3616.48926,5722.35205,0.15,4.78
150 mA,exp2,3615.79395,5768.86426,0.15,4.78
150 mA,exp2,3615.09961,5822.15332,0.15,4.78
150 mA,exp2,3614.4043,5892.40332,0.15,4.78
150 mA,exp2,3613.70996,5680.79443,0.15,4.78
150 mA,exp2,3613.01465,5812.15332,0.15,4.78
150 mA,exp2,3612.31934,5855.21143,0.15,4.78
150 mA,exp2,3611.62402,5776.08008,0.15,4.78
150 mA,exp2,3610.92773,5832.7002,0.15,4.78
150 mA,exp2,3610.23242,5841.80566,0.15,4.78
150 mA,exp2,3609.53711,5837.33984,0.15,4.78
150 mA,exp2,3608.84082,5809.13672,0.15,4.78
150 mA,exp2,3608.14453,5886.05225,0.15,4.78
150 mA,exp2,3607.44824,5956.15918,0.15,4.78
150 mA,exp2,3606.75195,5768.65039,0.15,4.78
150 mA,exp2,3606.05566,5808.2544,0.15,4.78
150 mA,exp2,3605.35938,5932.54541,0.15,4.78
150 mA,exp2,3604.66309,5616.42041,0.15,4.78
150 mA,exp2,3603.96582,5889.72168,0.15,4.78
150 mA,exp2,3603.26856,5963.13525,0.15,4.78
150 mA,exp2,3602.57227,5846.92822,0.15,4.78
150 mA,exp2,3601.875,5883.08789,0.15,4.78
150 mA,exp2,3601.17773,5912.46484,0.15,4.78
150 mA,exp2,3600.47949,5958.74951,0.15,4.78
150 mA,exp2,3599.78223,5724.21875,0.15,4.78
150 mA,exp2,3599.08496,5963.32227,0.15,4.78
150 mA,exp2,3598.38672,5671.38477,0.15,4.78
150 mA,exp2,3597.68848,5903.64746,0.15,4.78
150 mA,exp2,3596.99023,5902.56104,0.15,4.78
150 mA,exp2,3596.29199,5992.73486,0.15,4.78
150 mA,exp2,3595.59375,5940.94141,0.15,4.78
150 mA,exp2,3594.89551,5922.95459,0.15,4.78
150 mA,exp2,3594.19727,5678.63916,0.15,4.78
150 mA,exp2,3593.49805,5910.64209,0.15,4.78
150 mA,exp2,3592.79981,5960.20752,0.15,4.78
150 mA,exp2,3592.10059,5999.62598,0.15,4.78
150 mA,exp2,3591.40137,5704.84033,0.15,4.78
150 mA,exp2,3590.70215,5859.0415,0.15,4.78
150 mA,exp2,3590.00293,5908.57861,0.15,4.78
150 mA,exp2,3589.30273,5961.47168,0.15,4.78
150 mA,exp2,3588.60352,6054.82227,0.15,4.78
150 mA,exp2,3587.90332,5962.64893,0.15,4.78
150 mA,exp2,3587.2041,5826.67432,0.15,4.78
150 mA,exp2,3586.50391,6088.5625,0.15,4.78
150 mA,exp2,3585.80371,5989.6919,0.15,4.78
150 mA,exp2,3585.10352,6015.54932,0.15,4.78
150 mA,exp2,3584.40332,5994.22461,0.15,4.78
150 mA,exp2,3583.70215,6043.65283,0.15,4.78
150 mA,exp2,3583.00195,6049.27588,0.15,4.78
150 mA,exp2,3582.30078,6071.73438,0.15,4.78
150 mA,exp2,3581.59961,6100.91846,0.15,4.78
150 mA,exp2,3580.89844,5978.60645,0.15,4.78
150 mA,exp2,3580.19727,6021.25928,0.15,4.78
150 mA,exp2,3579.49609,6185.03906,0.15,4.78
150 mA,exp2,3578.79492,6002.21777,0.15,4.78
150 mA,exp2,3578.09375,6199.5791,0.15,4.78
150 mA,exp2,3577.3916,6121.08203,0.15,4.78
150 mA,exp2,3576.68945,6130.0415,0.15,4.78
150 mA,exp2,3575.98828,5994.43213,0.15,4.78
150 mA,exp2,3575.28613,6050.47022,0.15,4.78
150 mA,exp2,3574.58398,6156.89893,0.15,4.78
150 mA,exp2,3573.88086,5987.75684,0.15,4.78
150 mA,exp2,3573.17871,6292.36865,0.15,4.78
150 mA,exp2,3572.47559,6177.00586,0.15,4.78
150 mA,exp2,3571.77344,6075.11865,0.15,4.78
150 mA,exp2,3571.07031,6050.49463,0.15,4.78
150 mA,exp2,3570.36719,6082.94873,0.15,4.78
150 mA,exp2,3569.66406,6024.76758,0.15,4.78
150 mA,exp2,3568.96094,6144.46484,0.15,4.78
150 mA,exp2,3568.25781,6374.83887,0.15,4.78
150 mA,exp2,3567.55371,6078.46143,0.15,4.78
150 mA,exp2,3566.85059,6067.27783,0.15,4.78
150 mA,exp2,3566.14648,6176.81787,0.15,4.78
150 mA,exp2,3565.44238,6306.43311,0.15,4.78
150 mA,exp2,3564.73828,6385.71924,0.15,4.78
150 mA,exp2,3564.03418,6273.94238,0.15,4.78
150 mA,exp2,3563.33008,6121.99609,0.15,4.78
150 mA,exp2,3562.62598,6385.53369,0.15,4.78
150 mA,exp2,3561.9209,6337.45996,0.15,4.78
150 mA,exp2,3561.2168,6332.94092,0.15,4.78
150 mA,exp2,3560.51172,6254.75879,0.15,4.78
150 mA,exp2,3559.80664,6270.34277,0.15,4.78
150 mA,exp2,3559.10156,6205.58887,0.15,4.78
150 mA,exp2,3558.39648,6465.4707,0.15,4.78
150 mA,exp2,3557.69141,6183.22119,0.15,4.78
150 mA,exp2,3556.98535,6292.47315,0.15,4.78
150 mA,exp2,3556.28027,6214.38281,0.15,4.78
150 mA,exp2,3555.57422,6467.38232,0.15,4.78
150 mA,exp2,3554.86816,6212.08643,0.15,4.78
150 mA,exp2,3554.16211,6471.67725,0.15,4.78
150 mA,exp2,3553.45606,6273.29199,0.15,4.78
150 mA,exp2,3552.75,6435.86963,0.15,4.78
150 mA,exp2,3552.04395,6387.90625,0.15,4.78
150 mA,exp2,3551.33691,6303.2168,0.15,4.78
150 mA,exp2,3550.63086,6225.23779,0.15,4.78
150 mA,exp2,3549.92383,6431.11084,0.15,4.78
150 mA,exp2,3549.2168,6366.49023,0.15,4.78
150 mA,exp2,3548.50977,6382.00195,0.15,4.78
150 mA,exp2,3547.80273,6430.87988,0.15,4.78
150 mA,exp2,3547.0957,6696.62109,0.15,4.78
150 mA,exp2,3546.3877,6568.61328,0.15,4.78
150 mA,exp2,3545.68066,6387.28662,0.15,4.78
150 mA,exp2,3544.97266,6442.79541,0.15,4.78
150 mA,exp2,3544.26465,6661.6582,0.15,4.78
150 mA,exp2,3543.55664,6533.75,0.15,4.78
150 mA,exp2,3542.84863,6375.89307,0.15,4.78
150 mA,exp2,3542.14063,6661.2915,0.15,4.78
150 mA,exp2,3541.43262,6520.12695,0.15,4.78
150 mA,exp2,3540.72363,6682.14209,0.15,4.78
150 mA,exp2,3540.01563,6504.39014,0.15,4.78
150 mA,exp2,3539.30664,6599.75098,0.15,4.78
150 mA,exp2,3538.59766,6715.05176,0.15,4.78
150 mA,exp2,3537.88867,6687.17871,0.15,4.78
150 mA,exp2,3537.17969,6689.26758,0.15,4.78
150 mA,exp2,3536.46973,6634.79004,0.15,4.78
150 mA,exp2,3535.76074,6703.42236,0.15,4.78
150 mA,exp2,3535.05078,6535.87305,0.15,4.78
150 mA,exp2,3534.3418,6594.521,0.15,4.78
150 mA,exp2,3533.63184,6799.44287,0.15,4.78
150 mA,exp2,3532.92188,6661.88623,0.15,4.78
150 mA,exp2,3532.21191,6624.09033,0.15,4.78
150 mA,exp2,3531.50195,6559.72412,0.15,4.78
150 mA,exp2,3530.79102,6505.34815,0.15,4.78
150 mA,exp2,3530.08106,6779.85352,0.15,4.78
150 mA,exp2,3529.37012,6639.10498,0.15,4.78
150 mA,exp2,3528.65918,6717.56738,0.15,4.78
150 mA,exp2,3527.94824,6666.521,0.15,4.78
150 mA,exp2,3527.23731,6781.46191,0.15,4.78
150 mA,exp2,3526.52637,6703.87207,0.15,4.78
150 mA,exp2,3525.81543,6642.90137,0.15,4.78
150 mA,exp2,3525.10449,6595.22266,0.15,4.78
150 mA,exp2,3524.39258,6793.01221,0.15,4.78
150 mA,exp2,3523.68066,6609.35547,0.15,4.78
150 mA,exp2,3522.96875,6856.80322,0.15,4.78
150 mA,exp2,3522.25684,6706.35205,0.15,4.78
150 mA,exp2,3521.54492,6754.82324,0.15,4.78
150 mA,exp2,3520.83301,6859.61035,0.15,4.78
150 mA,exp2,3520.12109,6639.66455,0.15,4.78
150 mA,exp2,3519.4082,6784.18457,0.15,4.78
150 mA,exp2,3518.69531,6710.06055,0.15,4.78
150 mA,exp2,3517.9834,6821.39941,0.15,4.78
150 mA,exp2,3517.27051,6995.60107,0.15,4.78
150 mA,exp2,3516.55762,6620.25586,0.15,4.78
150 mA,exp2,3515.84375,6807.66699,0.15,4.78
150 mA,exp2,3515.13086,7011.55273,0.15,4.78
150 mA,exp2,3514.41797,6894.45898,0.15,4.78
150 mA,exp2,3513.7041,6942.7915,0.15,4.78
150 mA,exp2,3512.99023,6845.59522,0.15,4.78
150 mA,exp2,3512.27637,7062.54639,0.15,4.78
150 mA,exp2,3511.5625,6975.28076,0.15,4.78
150 mA,exp2,3510.84863,6944.23584,0.15,4.78
150 mA,exp2,3510.13477,6972.68457,0.15,4.78
150 mA,exp2,3509.41992,6921.82715,0.15,4.78
150 mA,exp2,3508.70606,6993.2124,0.15,4.78
150 mA,exp2,3507.99121,6975.39648,0.15,4.78
150 mA,exp2,3507.27637,6934.47217,0.15,4.78
150 mA,exp2,3506.56152,6959.59277,0.15,4.78
150 mA,exp2,3505.84668,6991.30518,0.15,4.78
150 mA,exp2,3505.13184,7049.40772,0.15,4.78
150 mA,exp2,3504.41602,7038.19531,0.15,4.78
150 mA,exp2,3503.70117,7185.34131,0.15,4.78
150 mA,exp2,3502.98535,7121.33154,0.15,4.78
150 mA,exp2,3502.27051,7047.45215,0.15,4.78
150 mA,exp2,3501.55469,7138.46045,0.15,4.78
150 mA,exp2,3500.83789,7048.12109,0.15,4.78
150 mA,exp2,3500.12207,7247.86182,0.15,4.78
150 mA,exp2,3499.40625,7197.07959,0.15,4.78
150 mA,exp2,3498.68945,7413.19043,0.15,4.78
150 mA,exp2,3497.97363,7372.27783,0.15,4.78
150 mA,exp2,3497.25684,7071.1919,0.15,4.78
150 mA,exp2,3496.54004,7119.26611,0.15,4.78
150 mA,exp2,3495.82324,7180.49121,0.15,4.78
150 mA,exp2,3495.10645,7037.6084,0.15,4.78
150 mA,exp2,3494.38965,7079.07861,0.15,4.78
150 mA,exp2,3493.67188,7179.76074,0.15,4.78
150 mA,exp2,3492.95508,7310.01367,0.15,4.78
150 mA,exp2,3492.23731,7180.36865,0.15,4.78
150 mA,exp2,3491.51953,7248.08838,0.15,4.78
150 mA,exp2,3490.80176,7023.15088,0.15,4.78
150 mA,exp2,3490.08398,7265.10449,0.15,4.78
150 mA,exp2,3489.36621,7316.33496,0.15,4.78
150 mA,exp2,3488.64746,7459.55811,0.15,4.78
150 mA,exp2,3487.92969,7313.60059,0.15,4.78
150 mA,exp2,3487.21094,7400.92578,0.15,4.78
150 mA,exp2,3486.49219,7406.11084,0.15,4.78
150 mA,exp2,3485.77344,7178.15088,0.15,4.78
150 mA,exp2,3485.05469,7124.2793,0.15,4.78
150 mA,exp2,3484.33594,7083.55713,0.15,4.78
150 mA,exp2,3483.61719,7118.33203,0.15,4.78
150 mA,exp2,3482.89746,7369.65527,0.15,4.78
150 mA,exp2,3482.17871,7371.55713,0.15,4.78
150 mA,exp2,3481.45898,7176.65674,0.15,4.78
150 mA,exp2,3480.73926,7404.87109,0.15,4.78
150 mA,exp2,3480.01953,7183.80615,0.15,4.78
150 mA,exp2,3479.29981,7539.78125,0.15,4.78
150 mA,exp2,3478.5791,7495.76123,0.15,4.78
150 mA,exp2,3477.85938,7474.69531,0.15,4.78
150 mA,exp2,3477.13867,7424.15039,0.15,4.78
150 mA,exp2,3476.41797,7475.1709,0.15,4.78
150 mA,exp2,3475.69824,7404.99268,0.15,4.78
150 mA,exp2,3474.97754,7600.07422,0.15,4.78
150 mA,exp2,3474.25586,7317.09668,0.15,4.78
150 mA,exp2,3473.53516,7842.71875,0.15,4.78
150 mA,exp2,3472.81445,7523.80225,0.15,4.78
150 mA,exp2,3472.09277,7512.5752,0.15,4.78
150 mA,exp2,3471.37109,7475.18066,0.15,4.78
150 mA,exp2,3470.64941,7382.1958,0.15,4.78
150 mA,exp2,3469.92773,7482.18652,0.15,4.78
150 mA,exp2,3469.20606,7582.13965,0.15,4.78
150 mA,exp2,3468.48438,7557.83398,0.15,4.78
150 mA,exp2,3467.7627,7657.73389,0.15,4.78
150 mA,exp2,3467.04004,7398.14551,0.15,4.78
150 mA,exp2,3466.31738,7677.72852,0.15,4.78
150 mA,exp2,3465.5957,7539.09375,0.15,4.78
150 mA,exp2,3464.87305,7629.12256,0.15,4.78
150 mA,exp2,3464.15039,7787.68799,0.15,4.78
150 mA,exp2,3463.42676,7626.25635,0.15,4.78
150 mA,exp2,3462.7041,7729.27295,0.15,4.78
150 mA,exp2,3461.98047,7607.07324,0.15,4.78
150 mA,exp2,3461.25781,7621.95752,0.15,4.78
150 mA,exp2,3460.53418,7610.73779,0.15,4.78
150 mA,exp2,3459.81055,7462.53516,0.15,4.78
150 mA,exp2,3459.08691,7663.3125,0.15,4.78
150 mA,exp2,3458.36328,7534.7168,0.15,4.78
150 mA,exp2,3457.63867,7693.02783,0.15,4.78
150 mA,exp2,3456.91504,7584.02832,0.15,4.78
150 mA,exp2,3456.19043,7901.9375,0.15,4.78
150 mA,exp2,3455.46582,7568.14258,0.15,4.78
150 mA,exp2,3454.74219,7644.89356,0.15,4.78
150 mA,exp2,3454.01758,7702.07471,0.15,4.78
150 mA,exp2,3453.29199,7622.47852,0.15,4.78
150 mA,exp2,3452.56738,7627.55371,0.15,4.78
150 mA,exp2,3451.84277,7600.07861,0.15,4.78
150 mA,exp2,3451.11719,7631.18897,0.15,4.78
150 mA,exp2,3450.3916,7688.31641,0.15,4.78
150 mA,exp2,3449.66602,7560.0,0.15,4.78
150 mA,exp2,3448.94043,7513.0415,0.15,4.78
150 mA,exp2,3448.21484,7690.47363,0.15,4.78
150 mA,exp2,3447.48926,7630.50293,0.15,4.78
150 mA,exp2,3446.7627,7759.08643,0.15,4.78
150 mA,exp2,3446.03711,7764.12256,0.15,4.78
150 mA,exp2,3445.31055,7704.17041,0.15,4.78
150 mA,exp2,3444.58398,7835.91455,0.15,4.78
150 mA,exp2,3443.85742,7730.49658,0.15,4.78
150 mA,exp2,3443.13086,7768.00732,0.15,4.78
150 mA,exp2,3442.4043,7678.87549,0.15,4.78
150 mA,exp2,3441.67676,7969.58984,0.15,4.78
150 mA,exp2,3440.9502,7877.20703,0.15,4.78
150 mA,exp2,3440.22266,7901.67969,0.15,4.78
150 mA,exp2,3439.49512,7828.80957,0.15,4.78
150 mA,exp2,3438.76758,7723.52881,0.15,4.78
150 mA,exp2,3438.04004,7838.82471,0.15,4.78
150 mA,exp2,3437.3125,7860.0415,0.15,4.78
150 mA,exp2,3436.58398,8027.13916,0.15,4.78
150 mA,exp2,3435.85645,7970.51856,0.15,4.78
150 mA,exp2,3435.12793,7787.5293,0.15,4.78
150 mA,exp2,3434.39941,7773.09619,0.15,4.78
150 mA,exp2,3433.6709,7962.7583,0.15,4.78
150 mA,exp2,3432.94238,7747.48389,0.15,4.78
150 mA,exp2,3432.21387,7684.49023,0.15,4.78
150 mA,exp2,3431.48438,7744.55225,0.15,4.78
150 mA,exp2,3430.75586,7956.73389,0.15,4.78
150 mA,exp2,3430.02637,7913.15381,0.15,4.78
150 mA,exp2,3429.29688,7934.30664,0.15,4.78
150 mA,exp2,3428.56738,7881.04053,0.15,4.78
150 mA,exp2,3427.83789,7950.70947,0.15,4.78
150 mA,exp2,3427.1084,7777.80078,0.15,4.78
150 mA,exp2,3426.37793,7724.59326,0.15,4.78
150 mA,exp2,3425.64844,7913.86426,0.15,4.78
150 mA,exp2,3424.91797,7867.11377,0.15,4.78
150 mA,exp2,3424.1875,7846.2334,0.15,4.78
150 mA,exp2,3423.45703,7805.97461,0.15,4.78
150 mA,exp2,3422.72656,7765.73047,0.15,4.78
150 mA,exp2,3421.99609,7906.36572,0.15,4.78
150 mA,exp2,3421.26563,8027.57275,0.15,4.78
150 mA,exp2,3420.53418,7967.93652,0.15,4.78
150 mA,exp2,3419.80273,7846.99316,0.15,4.78
150 mA,exp2,3419.07227,7790.64063,0.15,4.78
150 mA,exp2,3418.34082,7863.375,0.15,4.78
150 mA,exp2,3417.60938,8003.82861,0.15,4.78
150 mA,exp2,3416.87695,7786.20459,0.15,4.78
