sample,experiment,wn,int,current_A,cell_voltage
50 mA,exp1,3676.43652,3490.82495,0.05,3.69
50 mA,exp1,3675.75293,3472.92163,0.05,3.69
50 mA,exp1,3675.06934,3396.3479,0.05,3.69
50 mA,exp1,3674.38477,3444.03638,0.05,3.69
50 mA,exp1,3673.70117,3526.20996,0.05,3.69
50 mA,exp1,3673.01758,3563.50781,0.05,3.69
50 mA,exp1,3672.33301,3380.05347,0.05,3.69
50 mA,exp1,3671.64844,3579.43897,0.05,3.69
50 mA,exp1,3670.96387,3582.22827,0.05,3.69
50 mA,exp1,3670.2793,3619.48804,0.05,3.69
50 mA,exp1,3669.59473,3536.10645,0.05,3.69
50 mA,exp1,3668.91016,3638.83203,0.05,3.69
50 mA,exp1,3668.22461,3565.81299,0.05,3.69
50 mA,exp1,3667.54004,3547.93433,0.05,3.69
50 mA,exp1,3666.85449,3499.06641,0.05,3.69
50 mA,exp1,3666.16895,3525.96973,0.05,3.69
50 mA,exp1,3665.4834,3518.43604,0.05,3.69
50 mA,exp1,3664.79785,3428.29565,0.05,3.69
50 mA,exp1,3664.11231,3455.19678,0.05,3.69
50 mA,exp1,3663.42578,3433.91675,0.05,3.69
50 mA,exp1,3662.74023,3464.24707,0.05,3.69
50 mA,exp1,3662.05371,3422.33594,0.05,3.69
50 mA,exp1,3661.36816,3614.28516,0.05,3.69
50 mA,exp1,3660.68164,3517.34937,0.05,3.69
50 mA,exp1,3659.99512,3554.51685,0.05,3.69
50 mA,exp1,3659.30859,3529.80444,0.05,3.69
50 mA,exp1,3658.62109,3463.86475,0.05,3.69
50 mA,exp1,3657.93457,3521.63574,0.05,3.69
50 mA,exp1,3657.24707,3586.25562,0.05,3.69
50 mA,exp1,3656.56055,3599.33447,0.05,3.69
50 mA,exp1,3655.87305,3547.16528,0.05,3.69
50 mA,exp1,3655.18555,3628.91065,0.05,3.69
50 mA,exp1,3654.49805,3652.27197,0.05,3.69
50 mA,exp1,3653.81055,3504.02661,0.05,3.69
50 mA,exp1,3653.12305,3520.53931,0.05,3.69
50 mA,exp1,3652.43457,3574.78369,0.05,3.69
50 mA,exp1,3651.74707,3567.2666,0.05,3.69
50 mA,exp1,3651.05859,3487.73413,0.05,3.69
50 mA,exp1,3650.37012,3613.95923,0.05,3.69
50 mA,exp1,3649.68164,3541.30347,0.05,3.69
50 mA,exp1,3648.99316,3502.94971,0.05,3.69
50 mA,exp1,3648.30469,3653.09033,0.05,3.69
50 mA,exp1,3647.61621,3604.45142,0.05,3.69
50 mA,exp1,3646.92676,3603.78906,0.05,3.69
50 mA,exp1,3646.23828,3640.80225,0.05,3.69
50 mA,exp1,3645.54883,3595.61621,0.05,3.69
