current_mA,current_density,peak_index,amp_mean,amp_std,fwhm_mean,fwhm_std,pos_mean,pos_std,species
0.5,0.0005,2,9042.34971372645,,279.99999999999994,,3228.606797220758,,4-HB water
0.5,0.0005,3,11703.503674529144,,228.4796508710596,,3472.4024818255343,,3-HB water
1.0,0.001,2,11638.867146170236,,258.326286111183,,3250.4063683896643,,4-HB water
1.0,0.001,3,19143.81062436526,,218.70173118679003,,3474.999999999909,,3-HB water
10.0,0.01,2,10497.476124479588,,236.9949624767917,,3244.994257124428,,4-HB water
10.0,0.01,3,20845.69879647376,,214.07710065610198,,3457.8495989881153,,3-HB water
25.0,0.025,2,8483.185299348084,,201.05494274587522,,3224.868292855795,,4-HB water
25.0,0.025,3,23152.07149610841,,234.67192439481047,,3449.691843593389,,3-HB water
50.0,0.05,2,6881.514509388315,,182.694950383627,,3213.5334112554765,,4-HB water
50.0,0.05,3,27945.427414497983,,263.0590067642812,,3450.3043373092573,,3-HB water
100.0,0.1,2,3253.7019168671686,,217.57533110161302,,3211.1743079742146,,4-HB water
100.0,0.1,3,11496.747162350062,,279.99999999999994,,3434.8776100644377,,3-HB water
150.0,0.15,2,2673.119448866259,,279.99999993590876,,3224.2269335624733,,4-HB water
150.0,0.15,3,7897.4350714421635,,279.9999999999927,,3430.572654369971,,3-HB water
200.0,0.2,2,144.27501217430552,,220.534339730401,,3199.085418892603,,4-HB water
200.0,0.2,3,356.2894086912096,,279.99999998248404,,3421.2505430988826,,3-HB water
